,max_Df_complete
TPI,21.828720981565006
GAPD,18.7779806065017
MDH,5.767087936396653
TKT1,58.45744196313001
PRPPS,32.90708793639665
DHQTi,32.628720981565
IPMD,15.467087936396652
CBMKr,-9.486379882991347
ACACT5r,21.95744196313001
ACACT4r,22.15744196313001
ACACT7r,22.15744196313001
DHORTS_reverse,20.828720981565006
GLU5K,6.467087936396652
ACACT6r,22.15744196313001
FLDR2,44.995808917961654
CTECOAI7_reverse,27.328720981565006
2DDARAA_reverse,4.31089367010507
PDX5PO2,10.767087936396653
DXYLTD_reverse,-14.571279018434993
