,max_concentration,min_concentration
atp_c,-3.912023005,-12.206072647005957
adp_c,-6.214608097994046,-14.508657740000004
nh4_c,-3.912023005,-3.912023392747205
co2_c,-9.210340372000001,-9.210340759747206
cbp_c,-14.508657352252795,-14.50865774
