,max_Df_complete
PGM_reverse,11.732906507427908
FBA,14.143807733708627
GAPD,8.40544733505265
ENO,13.165819571031236
PFK,27.21800081574721
GLUDy_reverse,20.053453706975304
ACONT,19.028720981565005
MDH,5.767087936396656
TPI,10.610893670105064
RPE,30.728720981565004
FUM,6.500001000000191
TKT1,46.502527715273544
G6PDH2r,26.590354026733362
PSP_L,48.08133780954516
TALA,40.45618821011596
ASPK,14.867087936396654
GHMT2r,24.720747471957118
MTHFD,13.390354026733363
AICART,24.72074758511029
PRPPS,32.17000100000012
IMPC_reverse,24.72074748397419
HSDy_reverse,40.33711570181767
IPMD,3.732914063603726
IPPMIa_reverse,3.732914063603687
ADSL2r,24.720747471957203
ECOAH3,26.628720981565007
GARFT,31.96161993281683
DAPE,29.02872098156501
ACOAD2f_reverse,63.517814199108734
IPPMIb_reverse,3.7329140636037117
DHQTi,32.628720981565
ACACT4r,22.15744196313001
ACACT5r,21.95744196313001
ECOAH1,23.52872098156501
ECOAH4,26.628720981565007
ECOAH2,26.328720981565006
ACACT2r,19.55744196313001
ECOAH5,26.628720981565007
ADSS,32.338361398655984
ACGK,2.6670879363966513
ECOAH7,23.961634045168513
ECOAH6,26.628720981565007
CHORM,48.42872098156501
DHORTS_reverse,20.828720981565006
IMPD,14.067087936396657
CTECOAI7_reverse,23.96163404516855
ADSK,49.56708793639665
GLU5K,6.467087936396652
ACACT7r,22.15744196313001
PFL,32.918233409753746
FTHFLi,30.89748893779631
PGAMT_reverse,24.228720981565004
UAGDP,50.8003669172643
GF6PTA,33.86454810877204
ALAR,27.328720981565006
FLDR2,44.995808917961654
NDPK4,30.667087936396648
DPR,50.96708793639665
CDPMEK,41.167087936396655
PDX5PO2,10.767087936396656
DBTS,21.74108784555962
