,max_E,min_E
FBA,0.008401931837249136,0.008401922770809436
KARA2,0.004337610515324283,0.004337610515324283
NADH16pp,0.024198130314480513,0.02419812861427899
SHGO,0.0026431006140257675,0.002643099639762921
KARA1_reverse,0.00425684908588881,0.0042568490858888195
SERA,0.0019848973635975408,0.001984896631952387
GLCptspp,0.0017543859649122805,0.0017543859648262484
CYTBO3_4pp,0.002403098269028061,0.002403097080902563
AKGDH,0.0019764382035539828,0.001976431580487163
GND,0.002136200610900518,0.002136185966383697
GHMT2r,0.0031113350124511467,0.0031113350113917485
ATPS4rpp,0.0018784039046419569,0.0018784033165023166
PGM_reverse,0.0018603183614683226,0.0018603170578137833
ENO,0.0017454915829993704,0.0017454906015782336
CS,0.0015972768100336124,0.0015972735805364624
PSERT,0.0017073830256605737,0.0017073474495044214
GAPD,0.0014434438302254541,0.0014434435871306858
IMPD,0.0014558141275093305,0.0014558124899060928
ASAD_reverse,0.0014063593931662995,0.001406359392832747
THRS,0.00132749667263936,0.0013274966719742567
METAT,0.0013003122425817842,0.001300312242234356
PGK_reverse,0.0011882314598458163,0.0011882283806210537
ARGSS,0.0010916640439791868,0.0010916640438932614
ASPTA_reverse,0.0012570898607973853,0.001257088913169378
ACONT,0.0009810691449760867,0.0009810687739136663
PRFGS,0.0009371263565314725,0.000937126356506208
ADSS,0.0008892967295760557,0.0008892967288837241
THDPS,0.0009568377618619311,0.0009568269128700337
SUCDi,0.0009013407584955319,0.0009013357567477396
ICDHyr,0.0008297443697195066,0.0008297405536071566
PRPPS,0.0008267702831631305,0.000826768982680503
IPMD,0.0007524658720987787,0.0007524654419890178
OPMEACPS,0.0007352559692449215,0.0007352559346975093
TALA,0.0006688211650849028,0.0006688211645513588
PRASCSi,0.0007152661293180544,0.0007152659496758986
AICART,0.0006441325312079393,0.0006441325312078899
RHCCE,0.0006004760543850441,0.0006004745890095571
IMPC_reverse,0.0006441325312078488,0.0006441325312079167
GF6PTA,0.0005950481583111718,0.0005950001581608159
IPPS,0.0005346106736024408,0.0005346103680193723
HACD4,0.0005304296416365116,0.0005304279813820104
PGI,0.0005464127021190691,0.0005464123376706549
HACD1,0.0005273064726057104,0.000527306362904858
HACD5,0.0005085719493873195,0.0005085719493372472
HACD2,0.0005238698703962971,0.0005238681275725991
HACD6,0.0005074240500547799,0.0005074239312131927
HACD3,0.0005165082417252847,0.0005164811460629544
GLNS,0.0005063088614908884,0.0005063088614071568
AACPS4,0.0005060008399413125,0.000506000839627929
ECOAH4,0.0004913475825834814,0.0004913459596283447
AMPMS2,0.00046743706019524193,0.0004674370498839408
ECOAH1,0.000473921167621922,0.0004739193417828836
GLUDy_reverse,0.00046520085571506107,0.00046519980767928583
HACD7,0.0004649599313069274,0.0004649582522818431
ECOAH5,0.0004541817374651064,0.0004541817374181425
ECOAH3,0.0004634328180195215,0.0004634312017791666
GMPS,0.00043686940007586143,0.0004368693995298396
SUCOAS_reverse,0.0004485002141941811,0.0004484984532787982
GLUTRS,0.00044184029101883754,0.00044184029085902847
ECOAH7,0.00043158137137013554,0.0004315810480963809
GTPCI,0.0004300286831404448,0.00043002867365516317
ECOAH6,0.00043661320669819787,0.00043661298243574334
ECOAH2,0.00042162999547574597,0.00042162999546517445
ADK1,0.0004134846458669261,0.00041348325134283947
NDPK1,0.0004131325191693767,0.0004131314663958015
AACPS3,0.00040833498959585323,0.000408334322990295
SDPTA_reverse,0.0004075013836489199,0.0004075001181554054
ALATA_L_reverse,0.0004040333302430603,0.0004040326906740088
CBMKr,0.00039900403721961254,0.0003990031513516146
EGMEACPR,0.00038470047357308046,0.00038470047357238115
