,flux,z,f,enz,met_concentration,reaction,gpr
TPI,8.148165530989054,1.0,-9.486380882991474,1.3566092040590961e-05,;dhap_c : 0.0029660536037035483;g3p_c : 0.01391462294057237,dhap_c --> g3p_c,b3919
NH4tex,8.038913909753584,1.0,-9999.0,-9999.0,;nh4_p : 1.0;nh4_e : 1.0,nh4_e --> nh4_p,b0241 or b1377 or b2215 or b0929
EX_nh4_e_reverse,8.038913909753584,1.0,-9999.0,-9999.0,;nh4_e : 1.0, --> nh4_e,
NH4tpp,8.038913909753584,1.0,-9999.0,-9999.0,;nh4_c : 0.01999999225362017;nh4_p : 1.0,nh4_p --> nh4_c,s0001 or b0451
ATPM,6.86,1.0,71.8561952662917,-9999.0,;h_c : 1.0;h2o_c : 1.0;adp_c : 7.534877424624987e-07;atp_c : 7.534877424624995e-06;pi_c : 4.999999992620972e-07,atp_c + h2o_c --> adp_c + h_c + pi_c,
PGI,6.7034469473482545,1.0,9.486380882991499,0.0005455843252453844,;f6p_c : 4.999999992621096e-07;g6p_c : 5.2782026485528984e-05,g6p_c --> f6p_c,b4025
GLUDy_reverse,6.367143102502642,1.0,20.474006462759707,0.00046445154038705504,;h_c : 1.0;h2o_c : 1.0;glu__L_c : 4.1164443673732045e-05;nadp_c : 0.0020000000008562916;akg_c : 4.999999992621096e-07;nh4_c : 0.01999999225362017;nadph_c : 0.02000000000856292,akg_c + h_c + nadph_c + nh4_c --> glu__L_c + h2o_c + nadp_c,b1761 or ( b3213 and b3212 )
ACt2rpp_reverse,5.066940153998887,1.0,-9999.0,-9999.0,;ac_c : 0.0001370065602637059;ac_p : 1.0;h_p : 1.0;h_c : 1.0,ac_c + h_c --> ac_p + h_p,b0010
EX_ac_e,5.063065813608448,1.0,-9999.0,-9999.0,;ac_e : 1.0,ac_e --> ,
ACtex_reverse,5.063065813608448,1.0,-9999.0,-9999.0,;ac_e : 1.0;ac_p : 1.0,ac_p --> ac_e,b1377 or b0241 or b0929 or b2215
