,flux,z,f,enz,met_concentration,reaction,gpr
ATPS4rpp,55.809857230323516,1.0,-9999.0,0.001878403746692597,;h_c : 1.0;h2o_c : 1.0;h_p : 1.0;atp_c : 5.411968104158758e-05;pi_c : 4.999999992620972e-07;adp_c : 5.411968104158752e-06,adp_c + 4.0 h_p + pi_c --> atp_c + h2o_c + 3.0 h_c,( b3734 and b3733 and b3731 and b3735 and b3732 and b3739 and b3737 and b3738 and b3736 ) or ( b3732 and b3735 and b3731 and b3733 and b3734 and b3737 and b3738 and b3736 )
H2Otex_reverse,39.057510226323394,1.0,-9999.0,-9999.0,;h2o_p : 1.0;h2o_e : 1.0,h2o_p --> h2o_e,b1377 or b2215 or b1319 or b3875 or s0001 or b0957 or b0241 or b0929
EX_h2o_e,39.057510226323394,1.0,-9999.0,-9999.0,;h2o_e : 1.0,h2o_e --> ,
H2Otpp_reverse,39.057510226323394,1.0,-9999.0,-9999.0,;h2o_p : 1.0;h2o_c : 1.0,h2o_c --> h2o_p,s0001 or b0875
CYTBO3_4pp,34.26971182480754,1.0,-9999.0,0.002403098268972722,;h_c : 1.0;h2o_c : 1.0;h_p : 1.0;q8h2_c : 4.999999992621096e-07;o2_c : 4.999999992621096e-07;q8_c : 4.999999992621096e-07,4.0 h_c + 0.5 o2_c + q8h2_c --> h2o_c + 4.0 h_p + q8_c,b0429 and b0432 and b0431 and b0430
NADH16pp,31.35178498284818,1.0,-9999.0,0.024198128614522366,;h_c : 1.0;nadh_c : 0.0007084583731630467;h_p : 1.0;nad_c : 0.007084583731630468;q8h2_c : 4.999999992621096e-07;q8_c : 4.999999992621096e-07,4.0 h_c + nadh_c + q8_c --> 3.0 h_p + nad_c + q8h2_c,b2280 and b2281 and b2287 and b2288 and b2282 and b2277 and b2279 and b2284 and b2278 and b2276 and b2283 and b2286 and b2285
EX_co2_e,19.369608906097298,1.0,-9999.0,-9999.0,;co2_e : 1.0,co2_e --> ,
CO2tpp_reverse,19.369608906097298,1.0,-9999.0,-9999.0,;co2_p : 1.0;co2_c : 1.3922614394250121e-05,co2_c --> co2_p,s0001
CO2tex_reverse,19.369608906097298,1.0,-9999.0,-9999.0,;co2_p : 1.0;co2_e : 1.0,co2_p --> co2_e,b1377 or b0241 or b0929 or b2215
O2tpp,17.778757208932127,1.0,-9999.0,-9999.0,;o2_c : 4.999999992621096e-07;o2_p : 1.0,o2_p --> o2_c,s0001
O2tex,17.778757208932127,1.0,-9999.0,-9999.0,;o2_p : 1.0;o2_e : 1.0,o2_e --> o2_p,b1377 or b0241 or b0929 or b2215
EX_o2_e_reverse,17.778757208932127,1.0,-9999.0,-9999.0,;o2_e : 1.0, --> o2_e,
PGK_reverse,17.110491562546102,1.0,-14.56708793639665,0.0011882285807323682,;adp_c : 5.411968104158752e-06;3pg_c : 0.02000000000856292;atp_c : 5.411968104158758e-05;13dpg_c : 4.999999992621096e-07,13dpg_c + adp_c --> 3pg_c + atp_c,b2926
