,flux,z,f,enz,met_concentration,reaction,gpr
S2FE2SS,0.0002037428154327508,1.0,-9999.0,4.1486395308194785e-06,;sufbcd_2fe2s_c : 4.999999992621096e-07;pi_c : 0.012512120276271058;fad_c : 0.02000000000856292;fadh2_c : 5.504245599758867e-05;atp_c : 4.999999992621083e-06;sufbcd_c : 4.999999992621096e-07;h_c : 1.0;h2o_c : 1.0;adp_c : 4.999999992621078e-07;sufse_c : 4.999999992621096e-07;fe2_c : 4.999999992621096e-07;sufsesh_c : 4.999999992621096e-07,atp_c + fadh2_c + 2.0 fe2_c + h2o_c + sufbcd_c + 2.0 sufsesh_c --> adp_c + fad_c + 7.0 h_c + pi_c + sufbcd_2fe2s_c + 2.0 sufse_c,b1682 and b1683 and b1680 and b1681 and b1679
GRTT,0.0001980437157003662,1.0,98.72202039349824,1.474307090531925e-05,;ipdp_c : 0.02000000000856292;ppi_c : 2.1045792182462608e-06;grdp_c : 4.999999992621096e-07;frdp_c : 4.999999992621096e-07,grdp_c + ipdp_c --> frdp_c + ppi_c,b0421
IPDDI,0.0001980437157003662,1.0,32.228720981564955,2.4420513643703636e-07,;ipdp_c : 0.02000000000856292;dmpp_c : 4.999999992621193e-07,ipdp_c --> dmpp_c,b2889
DMATT,0.0001980437157003662,1.0,97.0220203934983,1.474307090531925e-05,;ipdp_c : 0.02000000000856292;ppi_c : 2.1045792182462608e-06;grdp_c : 4.999999992621096e-07;dmpp_c : 4.999999992621193e-07,dmpp_c + ipdp_c --> grdp_c + ppi_c,b0421
S4FE4ST,0.00018522074130250074,1.0,-9999.0,5.828264786119122e-07,;h_c : 1.0;sufbcd_c : 4.999999992621096e-07;4fe4s_c : 4.999999992621096e-07;sufbcd_4fe4s_c : 4.999999992621096e-07,4.0 h_c + sufbcd_4fe4s_c --> 4fe4s_c + sufbcd_c,b1684 and b1682 and b1681 and b1683
S2FE2SS2,0.00018522074130250074,1.0,-9999.0,1.3969854852982027e-06,;sufbcd_2fe2s_c : 4.999999992621096e-07;pi_c : 0.012512120276271058;fad_c : 0.02000000000856292;fadh2_c : 5.504245599758867e-05;atp_c : 4.999999992621083e-06;adp_c : 4.999999992621078e-07;sufbcd_2fe2s2_c : 4.999999992621096e-07;h_c : 1.0;h2o_c : 1.0;sufse_c : 4.999999992621096e-07;fe2_c : 4.999999992621096e-07;sufsesh_c : 4.999999992621096e-07,atp_c + fadh2_c + 2.0 fe2_c + h2o_c + sufbcd_2fe2s_c + 2.0 sufsesh_c --> adp_c + fad_c + 7.0 h_c + pi_c + sufbcd_2fe2s2_c + 2.0 sufse_c,b1682 and b1683 and b1680 and b1681 and b1679
S4FE4SR,0.00018522074130250074,1.0,-9999.0,3.1924320755355973e-07,;h_c : 1.0;fad_c : 0.02000000000856292;fadh2_c : 5.504245599758867e-05;sufbcd_4fe4s_c : 4.999999992621096e-07;sufbcd_2fe2s2_c : 4.999999992621096e-07,fadh2_c + 2.0 h_c + sufbcd_2fe2s2_c --> fad_c + sufbcd_4fe4s_c,b1681 and b1682 and b1683
5DOAN,0.00016028717997328829,1.0,48.11782831146,0.00010843424792046546,;h2o_c : 1.0;ade_c : 4.999999992621096e-07;5drib_c : 4.999999992621096e-07;dad_5_c : 4.999999992621096e-07,dad_5_c + h2o_c --> 5drib_c + ade_c,b0159
DM_5drib_c,0.00016028717997328829,1.0,-9999.0,-9999.0,;5drib_c : 4.999999992621096e-07,5drib_c --> ,
HBZOPT,0.0001588624050402218,1.0,74.39329941193324,5.459130195521935e-07,;octdp_c : 4.999999992621096e-07;ppi_c : 2.1045792182462608e-06;4hbz_c : 4.999999992621096e-07;3ophb_c : 4.999999992621096e-07,4hbz_c + octdp_c --> 3ophb_c + ppi_c,b4040
PDX5PS,0.0001588624050402218,1.0,238.5578657273101,1.0345431774686354e-06,;pi_c : 0.012512120276271058;nadh_c : 4.999999992621078e-07;pdx5p_c : 0.02000000000856292;h_c : 1.0;h2o_c : 1.0;phthr_c : 4.999999992621096e-07;nad_c : 4.999999992621083e-06;dxyl5p_c : 2.207799953516179e-05;co2_c : 3.5532535700738193e-07,dxyl5p_c + nad_c + phthr_c --> co2_c + 2.0 h2o_c + h_c + nadh_c + pdx5p_c + pi_c,b2564 and b0052
