,flux,z,f,enz,met_concentration,reaction,gpr
CYTBO3_4pp,23.64914831803317,1.0,-9999.0,0.001658351481806306,;q8_c : 0.02000000000856292;o2_c : 4.999999992621096e-07;h2o_c : 1.0;h_c : 1.0;q8h2_c : 0.0011815217940117687;h_p : 1.0,4.0 h_c + 0.5 o2_c + q8h2_c --> h2o_c + 4.0 h_p + q8_c,b0429 and b0432 and b0431 and b0430
H2Otpp_reverse,20.412298806346115,1.0,-9999.0,-9999.0,;h2o_p : 1.0;h2o_c : 1.0,h2o_c --> h2o_p,s0001 or b0875
H2Otex_reverse,20.412298806346115,1.0,-9999.0,-9999.0,;h2o_p : 1.0;h2o_e : 1.0,h2o_p --> h2o_e,b1377 or b2215 or b1319 or b3875 or s0001 or b0957 or b0241 or b0929
EX_h2o_e,20.412298806346115,1.0,-9999.0,-9999.0,;h2o_e : 1.0,h2o_e --> ,
ATPS4rpp,19.368448209519187,1.0,-9999.0,0.0006518878113992887,;h2o_c : 1.0;adp_c : 4.999999992621078e-07;h_c : 1.0;pi_c : 0.01317389472955991;atp_c : 4.999999992621083e-06;h_p : 1.0,adp_c + 4.0 h_p + pi_c --> atp_c + h2o_c + 3.0 h_c,( b3734 and b3733 and b3731 and b3735 and b3732 and b3739 and b3737 and b3738 and b3736 ) or ( b3732 and b3735 and b3731 and b3733 and b3734 and b3737 and b3738 and b3736 )
THD2pp,18.06579934891607,1.0,-9999.0,0.0008598579163925375,;nadp_c : 0.0020000000008562916;nadph_c : 0.02000000000856292;nad_c : 4.999999992621083e-06;h_c : 1.0;h_p : 1.0;nadh_c : 4.999999992621078e-07,2.0 h_p + nadh_c + nadp_c --> 2.0 h_c + nad_c + nadph_c,b1602 and b1603
GLUDy_reverse,17.175449294659074,1.0,1.5670869363967626,0.0012528639223781063,;nadph_c : 0.02000000000856292;glu__L_c : 3.3692752042852575e-05;h2o_c : 1.0;h_c : 1.0;akg_c : 4.999999992621096e-07;nadp_c : 0.0020000000008562916;nh4_c : 1.071977476378797e-05,akg_c + h_c + nadph_c + nh4_c --> glu__L_c + h2o_c + nadp_c,b1761 or ( b3213 and b3212 )
DM_ser__L_c,17.175449294659074,1.0,-9999.0,-9999.0,;ser__L_c : 4.999999992621096e-07,ser__L_c --> ,
NH4tpp,17.175449294659074,1.0,-9999.0,-9999.0,;nh4_p : 1.0;nh4_c : 1.071977476378797e-05,nh4_p --> nh4_c,s0001 or b0451
Htex_reverse,17.175449294659032,1.0,-9999.0,-9999.0,;h_p : 1.0;h_e : 1.0,h_p --> h_e,b1377 or b0241 or b0929 or b2215
EX_h_e,17.175449294659032,1.0,-9999.0,-9999.0,;h_e : 1.0,h_e --> ,
NH4tex,17.17544929447856,1.0,-9999.0,-9999.0,;nh4_p : 1.0;nh4_e : 1.0,nh4_e --> nh4_p,b0241 or b1377 or b2215 or b0929
EX_nh4_e_reverse,17.17544929447856,1.0,-9999.0,-9999.0,;nh4_e : 1.0, --> nh4_e,
NADH16pp,15.39474918614508,1.0,-9999.0,0.011882070542345559,;q8_c : 0.02000000000856292;nadh_c : 4.999999992621078e-07;q8h2_c : 0.0011815217940117687;nad_c : 4.999999992621083e-06;h_c : 1.0;h_p : 1.0,4.0 h_c + nadh_c + q8_c --> 3.0 h_p + nad_c + q8h2_c,b2280 and b2281 and b2287 and b2288 and b2282 and b2277 and b2279 and b2284 and b2278 and b2276 and b2283 and b2286 and b2285
PSP_L,14.127199565940224,1.0,21.365827127206654,9.285303026710432e-05,;pi_c : 0.01317389472955991;pser__L_c : 4.999999992621096e-07;h2o_c : 1.0;ser__L_c : 4.999999992621096e-07,h2o_c + pser__L_c --> pi_c + ser__L_c,b4388
PSERT,14.127199565940224,1.0,22.25869877232007,0.018809458446473935,;3php_c : 4.999999992621096e-07;pser__L_c : 4.999999992621096e-07;glu__L_c : 3.3692752042852575e-05;akg_c : 4.999999992621096e-07,3php_c + glu__L_c --> akg_c + pser__L_c,b0907
PGCD,14.127199565940089,1.0,1.5670869363967164,0.008667782537112183,;3php_c : 4.999999992621096e-07;nad_c : 4.999999992621083e-06;nadh_c : 4.999999992621078e-07;3pg_c : 0.019999992253621156;h_c : 1.0,3pg_c + nad_c --> 3php_c + h_c + nadh_c,b2913
EX_o2_e_reverse,11.824574159016585,1.0,-9999.0,-9999.0,;o2_e : 1.0, --> o2_e,
O2tex,11.824574159016585,1.0,-9999.0,-9999.0,;o2_p : 1.0;o2_e : 1.0,o2_e --> o2_p,b1377 or b0241 or b0929 or b2215
O2tpp,11.824574159012911,1.0,-9999.0,-9999.0,;o2_c : 4.999999992621096e-07;o2_p : 1.0,o2_p --> o2_c,s0001
HEX1,10.000000000001272,1.0,11.56330041193347,0.007300465617492617,;g6p_c : 0.00012189926677429519;atp_c : 4.999999992621083e-06;glc__D_c : 4.999999992621096e-07;adp_c : 4.999999992621078e-07;h_c : 1.0,atp_c + glc__D_c --> adp_c + g6p_c + h_c,b2388
GLCt2pp,10.0,1.0,-9999.0,-9999.0,;glc__D_p : 1.0;glc__D_c : 4.999999992621096e-07;h_p : 1.0;h_c : 1.0,glc__D_p + h_p --> glc__D_c + h_c,b2943
GAPD,10.0,1.0,1.567086936396712,0.0008436016142195409,;h_c : 1.0;g3p_c : 0.02000000000856292;pi_c : 0.01317389472955991;nad_c : 4.999999992621083e-06;nadh_c : 4.999999992621078e-07;13dpg_c : 0.0002605600574047117,g3p_c + nad_c + pi_c --> 13dpg_c + h_c + nadh_c,b1779
GLCtex_copy2,10.0,1.0,-9999.0,-9999.0,;glc__D_p : 1.0;glc__D_e : 1.0,glc__D_e --> glc__D_p,b0241 or b0929 or b1377 or b2215
EX_glc__D_e_reverse,10.0,1.0,-9999.0,-9999.0,;glc__D_e : 1.0, --> glc__D_e,
PGK_reverse,10.0,1.0,1.5670869363965672,0.0006944444444444445,;atp_c : 4.999999992621083e-06;3pg_c : 0.019999992253621156;13dpg_c : 0.0002605600574047117;adp_c : 4.999999992621078e-07,13dpg_c + adp_c --> 3pg_c + atp_c,b2926
SUCDi,8.254399131888125,1.0,3.399999999999981,0.002549764533291278,;q8_c : 0.02000000000856292;q8h2_c : 0.0011815217940117687;succ_c : 4.999999992621096e-07;fum_c : 0.009825935663968919,q8_c + succ_c --> fum_c + q8h2_c,b0723 and b0721 and b0722 and b0724
ICL,8.254399131888125,1.0,28.717828311460007,0.005095308106103781,;glx_c : 4.999999992621096e-07;icit_c : 4.999999992621096e-07;succ_c : 4.999999992621096e-07,icit_c --> glx_c + succ_c,b4015
MDH,8.254399131888091,1.0,1.567086936396553,0.00014330554048416826,;nad_c : 4.999999992621083e-06;h_c : 1.0;mal__L_c : 0.02000000000856292;oaa_c : 2.548210629187293e-06;nadh_c : 4.999999992621078e-07,mal__L_c + nad_c --> h_c + nadh_c + oaa_c,b3236
ACONTb,8.254399131888091,1.0,1.5670869363966158,0.0023317511955235574,;icit_c : 4.999999992621096e-07;acon_C_c : 6.998168227464142e-07;h2o_c : 1.0,acon_C_c + h2o_c --> icit_c,b0118 or b1276
EDD,8.254399131888091,1.0,38.004192082038436,0.011040130305287256,;6pgc_c : 0.002772770716561148;2ddg6p_c : 0.02000000000856292;h2o_c : 1.0,6pgc_c --> 2ddg6p_c + h2o_c,b1851
