,max_Df_complete
ENO,5.499993610546795
ACKr_reverse,32.17252679855814
PGM_reverse,5.499993610393844
GAPD,5.499993610393888
PGK_reverse,5.499993610834601
PTAr,28.9944371799457
HSDy_reverse,29.93574538022532
THRS,66.53427849531052
HSK,64.59056890850093
THRA,45.171282268289346
ASAD_reverse,7.580921851949732
MTHFD_reverse,26.071274795398462
GHMT2r_reverse,26.071274795398338
ASPTA_reverse,7.580921851949676
ASPK,7.580921851949604
GLUDy_reverse,7.580921851949739
FTHFLi,26.071274795398324
PFL,55.116458740013734
MTHFC_reverse,21.528720981565005
PPC,26.452089694344817
FBA,6.416443794231748
ACALD,28.99443717994578
PFK,15.657723896486441
TPI,6.41644379449944
PGL,45.80681060017754
G6PDH2r,26.590354026733362
MDH,4.583544509840728
PGI,15.657723895951372
RPI_reverse,29.258720981565006
GND,39.5667441196388
TALA,33.011004932070136
RPE,27.288357016251396
TKT1,40.497074073899455
TKT2,40.309620414841795
ACONTa,15.145177555009095
FUM,4.5835445098408325
CS,31.79863042855372
ACONTb,15.145177555009091
MALS,47.84926070826468
ICL,39.27946243991319
SUCDi,48.92872206484988
PDH,86.06300586129579
