,max_Df_complete
PSP_L,52.73738849311896
GLUDy_reverse,43.02979064998932
PGCD,0.2194784973581445
PSERT,38.728725481565284
ADK1,7.638366954831652
PPS,0.21948247494821582
HEX1,52.10924750661756
GAPD,0.21948247494819384
PGL,50.17088055178593
EDD,61.005862364139844
ENO_reverse,0.21948247494815298
EDA,18.12533583288685
THRD,6.367087936396658
PGK_reverse,0.21948247494801265
PGM,0.21948247494819917
G6PDH2r,26.590354026733362
HSDy_reverse,44.61354240771868
GLYAT_reverse,15.618902479884731
THRS,49.55628197300305
ASPK,14.867087936396654
PPC,57.07526216217771
ASAD_reverse,17.8946489278347
ASPTA_reverse,44.87633544301411
POR5_reverse,0.2194824749482187
FLDR2,0.21948247494800732
HSK,66.56708793639666
GHMT2r_reverse,31.171219309146505
GLYCL,31.171219309146284
