,max_E,min_E
THRS,0.02942630348650165,0.0294263034865005
ASAD_reverse,0.015869429442308982,0.015869429442306647
MTHFD_reverse,0.009695907133748289,0.009695907133747947
GHMT2r_reverse,0.011123735758288476,0.011123735758288164
FBA,0.007949086730071896,0.007949086730038763
THRA,0.006173392787670756,0.00617339278767053
ASPTA_reverse,0.005179582474250734,0.005179582474250074
PFL,0.004996634280536634,0.0049966342805345225
NADH16pp,0.00566285302125019,0.005662853021243752
MTHFC_reverse,0.005172208861328599,0.005172208861324898
GND,0.004269169584058069,0.004269169583995053
PGM_reverse,0.0020933376500187353,0.002093337650014716
ENO,0.0019641285574590883,0.001964128557455421
GAPD,0.0015025166947270202,0.0015025166947253748
GLCptspp,0.0017543859649122805,0.0017543859649122805
TALA,0.0015440047791204167,0.0015440047791067052
PGK_reverse,0.0012368567742767128,0.0012368567742753436
HSDy_reverse,0.0012515659588199452,0.001251565958819878
PTAr,0.0010946995861317809,0.0010946995861311525
THD2pp,0.0010870994205531114,0.0010870994205431223
HSK,0.0010370668666092673,0.001037066866609228
TKT1,0.0008643346041755169,0.0008643346041680942
ACALD,0.0008647118817699492,0.000864711881768701
MALS,0.0008237003231450177,0.000823700323126753
GLUDy_reverse,0.0006560634827540078,0.0006560634827540078
ASPK,0.0006913495675221174,0.0006913495675221174
PPC,0.0007960412013576132,0.000796041201354863
ICL,0.0007303729354203665,0.00073037293540406
G6PDH2r,0.000655653501280165,0.0006556535012704944
CS,0.0005441719110743751,0.0005441719110637412
CYTBO3_4pp,0.0005974598444718023,0.0005974598444702254
TKT2,0.00048783456075130485,0.0004878345607470055
SUCDi,0.00036548898870263893,0.00036548898869104653
PGL,0.0003599948611647983,0.00035999486115950935
ACONTa,0.0003342384619751842,0.0003342384619645227
ACONTb,0.0003342384660352439,0.0003342384660243615
ACKr_reverse,0.00010888391415447156,0.00010888391415440913
RPE,4.594494706090282e-05,4.594494705872376e-05
PFK,0.0002533026558061783,0.0002533026558051254
PGI,0.0002793430658583858,0.00027934306585025465
MDH,4.108347761727366e-05,4.1083477616477014e-05
FUM,2.8859263900508982e-05,2.8859263899851783e-05
TPI,1.3004299446246456e-05,1.3004299446246456e-05
PDH,1.872433082147516e-05,1.872433082069033e-05
ATPS4rpp,1.1924468698636351e-05,1.1924468696455783e-05
RPI_reverse,9.309172523173077e-06,9.309172523116329e-06
