,max_Df_complete
HSDy_reverse,42.95744596312978
EDA,35.6492691824634
MDH2,104.19160472357146
PGI_reverse,17.097610642908503
G6PDH2r,17.097610642908496
GND,22.722359478198513
PGL,22.72235947819869
EDD,68.72087873324513
HSK,66.56708793639666
ACALD,23.657444963129908
ASPK,14.867087936396654
MTHFC_reverse,21.528720981565005
ASAD_reverse,23.657444963129908
GHMT2r_reverse,26.842347098634967
MTHFD_reverse,26.842347098791656
PFL,39.842346098638245
FTHFLi,26.842347098634946
GLUDy_reverse,34.339615651669924
ASPTA_reverse,34.33961565166986
THRS,75.79433717094031
THRA,26.842347098634967
FUM,30.728720981565004
ACONTa,12.09035502673336
CS,49.96288274200664
RPE,17.097610642908627
ICL,33.1698173867787
ACONTb,12.090355026733363
TPI_reverse,32.828720981565006
SUCDi,70.22180645526338
MALS,69.14234509863498
FBP,53.63397814380348
HEX1,44.69035502673345
RPI_reverse,26.55685533098552
FBA_reverse,35.10124769683842
TALA,26.55685533098549
TKT1,26.5568559216345
ACKr_reverse,23.780712053466495
TKT2,26.556855330985556
PTAr,23.657444963129812
ADK1,7.638366954831652
PPS,63.35744396312992
PPC,67.80703056558832
