,flux,z,f,enz,met_concentration,reaction,gpr
Htex_reverse,24.919169274282126,1.0,-9999.0,-9999.0,;h_p : 1.0;h_e : 1.0,h_p --> h_e,b1377 or b0241 or b0929 or b2215
EX_h_e,24.919169274282126,1.0,-9999.0,-9999.0,;h_e : 1.0,h_e --> ,
ACt2rpp_reverse,16.612779516188084,1.0,-9999.0,-9999.0,;ac_c : 4.999999992621096e-07;ac_p : 1.0;h_p : 1.0;h_c : 1.0,ac_c + h_c --> ac_p + h_p,b0010
EX_ac_e,16.612779516188084,1.0,-9999.0,-9999.0,;ac_e : 1.0,ac_e --> ,
PTAr,16.612779516188084,1.0,16.078553911757325,0.0010937282415686145,;pi_c : 0.00976041767220882;accoa_c : 4.999999992621096e-07;actp_c : 4.999999992621096e-07;coa_c : 4.999999992621096e-07,accoa_c + pi_c --> actp_c + coa_c,b2297 or b2458
ACKr_reverse,16.612779516188084,1.0,7.761633045168352,0.00010878729970483617,;ac_c : 4.999999992621096e-07;atp_c : 4.999999992621083e-06;actp_c : 4.999999992621096e-07;adp_c : 4.999999992621078e-07,actp_c + adp_c --> ac_c + atp_c,b1849 or b2296 or b3115
ACtex_reverse,16.612779516188084,1.0,-9999.0,-9999.0,;ac_p : 1.0;ac_e : 1.0,ac_p --> ac_e,b1377 or b0241 or b0929 or b2215
PGL,15.192456456190351,1.0,7.4223616454654575,0.0008327319324083703,;6pgl_c : 4.999999992621087e-07;6pgc_c : 0.0002863560737817896;h2o_c : 1.0;h_c : 1.0,6pgl_c + h2o_c --> 6pgc_c + h_c,b0767
G6PDH2r,15.192456456190351,1.0,10.302525715273362,0.0015166427802462909,;g6p_c : 3.615907350151293e-05;nadph_c : 0.007481344146911915;nadp_c : 0.0007481344146911912;6pgl_c : 4.999999992621087e-07;h_c : 1.0,g6p_c + nadp_c --> 6pgl_c + h_c + nadph_c,b1852
EX_glc__D_e_reverse,9.999999999996703,1.0,-9999.0,-9999.0,;glc__D_e : 1.0, --> glc__D_e,
PGK_reverse,9.999999999996703,1.0,7.422361645465468,0.0006944444444442155,;atp_c : 4.999999992621083e-06;3pg_c : 0.00015804069181871603;13dpg_c : 1.9936756082536054e-05;adp_c : 4.999999992621078e-07,13dpg_c + adp_c --> 3pg_c + atp_c,b2926
GLCtex_copy1,9.999999999996703,1.0,-9999.0,-9999.0,;glc__D_p : 1.0;glc__D_e : 1.0,glc__D_e --> glc__D_p,b4036
PGM_reverse,9.999999999996703,1.0,7.4223616454655925,0.0011753233936486278,;3pg_c : 0.00015804069181871603;2pg_c : 1.8131926859198931e-06,3pg_c --> 2pg_c,b0755 or b3612
ENO,9.999999999996703,1.0,7.422361645465633,0.0011027777777247259,;pep_c : 4.999999992621104e-07;h2o_c : 1.0;2pg_c : 1.8131926859198931e-06,2pg_c --> h2o_c + pep_c,b2779
GAPD,9.999999999996703,1.0,7.422361645465637,0.0008436016142192627,;h_c : 1.0;g3p_c : 0.02000000000856292;pi_c : 0.00976041767220882;nad_c : 4.999999992621083e-06;nadh_c : 4.999999992621078e-07;13dpg_c : 1.9936756082536054e-05,g3p_c + nad_c + pi_c --> 13dpg_c + h_c + nadh_c,b1779
THD2pp,9.453425636186841,1.0,-9999.0,0.00044994426835539517,;nadp_c : 0.0007481344146911912;nadph_c : 0.007481344146911915;nad_c : 4.999999992621083e-06;h_c : 1.0;h_p : 1.0;nadh_c : 4.999999992621078e-07,2.0 h_p + nadh_c + nadp_c --> 2.0 h_c + nad_c + nadph_c,b1602 and b1603
CYTBO3_4pp,8.852964121903899,1.0,-9999.0,0.0006207972470087834,;q8_c : 0.02000000000856292;o2_c : 4.999999992621096e-07;h2o_c : 1.0;h_c : 1.0;q8h2_c : 0.00012202088690565695;h_p : 1.0,4.0 h_c + 0.5 o2_c + q8h2_c --> h2o_c + 4.0 h_p + q8_c,b0429 and b0432 and b0431 and b0430
NADH16pp,8.852964121903899,1.0,-9999.0,0.006832949529310058,;q8_c : 0.02000000000856292;nadh_c : 4.999999992621078e-07;q8h2_c : 0.00012202088690565695;nad_c : 4.999999992621083e-06;h_c : 1.0;h_p : 1.0,4.0 h_c + nadh_c + q8_c --> 3.0 h_p + nad_c + q8h2_c,b2280 and b2281 and b2287 and b2288 and b2282 and b2277 and b2279 and b2284 and b2278 and b2276 and b2283 and b2286 and b2285
GND,8.579676939998974,1.0,8.20328452481515,0.005576930840493457,;ru5p__D_c : 0.02000000000856292;nadph_c : 0.007481344146911915;nadp_c : 0.0007481344146911912;6pgc_c : 0.0002863560737817896;co2_c : 7.734493699017982e-07,6pgc_c + nadp_c --> co2_c + nadph_c + ru5p__D_c,b2029
H2Otpp_reverse,8.579676939998972,1.0,-9999.0,-9999.0,;h2o_p : 1.0;h2o_c : 1.0,h2o_c --> h2o_p,s0001 or b0875
EX_h2o_e,8.579676939998972,1.0,-9999.0,-9999.0,;h2o_e : 1.0,h2o_e --> ,
H2Otex_reverse,8.579676939998972,1.0,-9999.0,-9999.0,;h2o_p : 1.0;h2o_e : 1.0,h2o_p --> h2o_e,b1377 or b2215 or b1319 or b3875 or s0001 or b0957 or b0241 or b0929
THRS,8.306389758094042,1.0,12.810553418137673,0.027176776758957622,;pi_c : 0.00976041767220882;thr__L_c : 0.02000000000856292;phom_c : 4.999999992621096e-07;h2o_c : 1.0,h2o_c + phom_c --> pi_c + thr__L_c,b0004
GHMT2r_reverse,8.306389758094042,1.0,7.422361645465509,0.010273369319640062,;mlthf_c : 6.2552152706063235e-06;gly_c : 0.0002738578451832198;thf_c : 1.4910126170159886e-05;ser__L_c : 4.999999992621096e-07;h2o_c : 1.0,gly_c + h2o_c + mlthf_c --> ser__L_c + thf_c,b2551
HSDy_reverse,8.306389758094042,1.0,7.422361645465648,0.0011558885973415754,;hom__L_c : 0.0009669328136900026;nadp_c : 0.0007481344146911912;h_c : 1.0;aspsa_c : 4.999999992621096e-07;nadph_c : 0.007481344146911915,aspsa_c + h_c + nadph_c --> hom__L_c + nadp_c,b3940 or b0002
NH4tpp,8.306389758094042,1.0,-9999.0,-9999.0,;nh4_p : 1.0;nh4_c : 0.02000000000856292,nh4_p --> nh4_c,s0001 or b0451
PPC,8.306389758094042,1.0,7.422361645465511,0.0008465562234016591,;pep_c : 4.999999992621104e-07;h2o_c : 1.0;h_c : 1.0;pi_c : 0.00976041767220882;co2_c : 7.734493699017982e-07;oaa_c : 8.895603962814492e-06,co2_c + h2o_c + pep_c --> h_c + oaa_c + pi_c,b3956
ACALD,8.306389758094042,1.0,15.64925962493665,0.000798608013487897,;h_c : 1.0;accoa_c : 4.999999992621096e-07;nad_c : 4.999999992621083e-06;nadh_c : 4.999999992621078e-07;acald_c : 0.02000000000856292;coa_c : 4.999999992621096e-07,acald_c + coa_c + nad_c --> accoa_c + h_c + nadh_c,b0351 or b1241
NH4tex,8.306389758094042,1.0,-9999.0,-9999.0,;nh4_p : 1.0;nh4_e : 1.0,nh4_e --> nh4_p,b0241 or b1377 or b2215 or b0929
HEX1,8.306389758094042,1.0,14.697474284726642,0.006064051283445065,;g6p_c : 3.615907350151293e-05;atp_c : 4.999999992621083e-06;glc__D_c : 4.999999992621096e-07;adp_c : 4.999999992621078e-07;h_c : 1.0,atp_c + glc__D_c --> adp_c + g6p_c + h_c,b2388
MTHFD_reverse,8.306389758094042,1.0,7.422361645465649,0.008954692653473983,;nadp_c : 0.0007481344146911912;mlthf_c : 6.2552152706063235e-06;methf_c : 4.999999992621096e-07;nadph_c : 0.007481344146911915,methf_c + nadph_c --> mlthf_c + nadp_c,b0529
