,flux,z,f,enz,met_concentration,reaction,gpr
HSK,8.306389758094042,1.0,58.75437226419764,0.0009577871284743704,;hom__L_c : 0.0009669328136900026;atp_c : 4.999999992621083e-06;phom_c : 4.999999992621096e-07;adp_c : 4.999999992621078e-07;h_c : 1.0,atp_c + hom__L_c --> adp_c + h_c + phom_c,b0003
THRA,8.306389758094042,1.0,11.255282709068764,0.005701460861805083,;thr__L_c : 0.02000000000856292;gly_c : 0.0002738578451832198;acald_c : 0.02000000000856292,thr__L_c --> acald_c + gly_c,b2551 or b0870
ASPK,8.306389758094042,1.0,7.422361645465571,0.0006384985755200239,;4pasp_c : 8.966740054473944e-06;asp__L_c : 0.019999953478956414;adp_c : 4.999999992621078e-07;atp_c : 4.999999992621083e-06,asp__L_c + atp_c --> 4pasp_c + adp_c,b3940 or b0002 or b4024
GLUDy_reverse,8.306389758094042,1.0,7.422361645465685,0.0006059099750224962,;nadph_c : 0.007481344146911915;glu__L_c : 0.006491921530224061;h2o_c : 1.0;h_c : 1.0;akg_c : 4.999999992621096e-07;nadp_c : 0.0007481344146911912;nh4_c : 0.02000000000856292,akg_c + h_c + nadph_c + nh4_c --> glu__L_c + h2o_c + nadp_c,b1761 or ( b3213 and b3212 )
ASPTA_reverse,8.306389758094042,1.0,7.422361645465616,0.004783623490863545,;akg_c : 4.999999992621096e-07;glu__L_c : 0.006491921530224061;asp__L_c : 0.019999953478956414;oaa_c : 8.895603962814492e-06,glu__L_c + oaa_c --> akg_c + asp__L_c,b0928 or b4054
EX_nh4_e_reverse,8.306389758094042,1.0,-9999.0,-9999.0,;nh4_e : 1.0, --> nh4_e,
FTHFLi,8.306389758094042,1.0,7.4223616454655,-9999.0,;10fthf_c : 8.424981519721886e-05;thf_c : 1.4910126170159886e-05;adp_c : 4.999999992621078e-07;pi_c : 0.00976041767220882;atp_c : 4.999999992621083e-06;for_c : 0.02000000000856292,atp_c + for_c + thf_c --> 10fthf_c + adp_c + pi_c,
DM_ser__L_c,8.306389758094042,1.0,-9999.0,-9999.0,;ser__L_c : 4.999999992621096e-07,ser__L_c --> ,
GLCt2pp,8.306389758094042,1.0,-9999.0,-9999.0,;glc__D_p : 1.0;glc__D_c : 4.999999992621096e-07;h_p : 1.0;h_c : 1.0,glc__D_p + h_p --> glc__D_c + h_c,b2943
PFL,8.306389758094042,1.0,7.422361645465447,0.004614660976718912,;accoa_c : 4.999999992621096e-07;coa_c : 4.999999992621096e-07;for_c : 0.02000000000856292;pyr_c : 9.570274794805554e-05,coa_c + pyr_c --> accoa_c + for_c,( b3951 and b3952 ) or ( b0902 and b0903 ) or ( b0902 and b3114 ) or ( b0903 and b0902 and b2579 )
MTHFC_reverse,8.306389758094042,1.0,7.422361645465545,0.004776813562037065,;10fthf_c : 8.424981519721886e-05;methf_c : 4.999999992621096e-07;h2o_c : 1.0;h_c : 1.0,10fthf_c + h_c --> h2o_c + methf_c,b0529
ASAD_reverse,8.306389758094042,1.0,7.422361645465674,0.014656273134797561,;nadp_c : 0.0007481344146911912;nadph_c : 0.007481344146911915;pi_c : 0.00976041767220882;h_c : 1.0;aspsa_c : 4.999999992621096e-07;4pasp_c : 8.966740054473944e-06,4pasp_c + h_c + nadph_c --> aspsa_c + nadp_c + pi_c,b3433
EDD,6.612779516191381,1.0,32.148917372969535,0.008844489631819883,;6pgc_c : 0.0002863560737817896;2ddg6p_c : 0.02000000000856292;h2o_c : 1.0,6pgc_c --> 2ddg6p_c + h2o_c,b1851
EDA,6.612779516191381,1.0,8.366745684429553,0.0033235765306967808,;2ddg6p_c : 0.02000000000856292;pyr_c : 9.570274794805554e-05;g3p_c : 0.02000000000856292,2ddg6p_c --> g3p_c + pyr_c,b1850
ATPS4rpp,6.612779516191381,1.0,-9999.0,0.0002225676687901813,;h2o_c : 1.0;adp_c : 4.999999992621078e-07;h_c : 1.0;pi_c : 0.00976041767220882;atp_c : 4.999999992621083e-06;h_p : 1.0,adp_c + 4.0 h_p + pi_c --> atp_c + h2o_c + 3.0 h_c,( b3734 and b3733 and b3731 and b3735 and b3732 and b3739 and b3737 and b3738 and b3736 ) or ( b3732 and b3735 and b3731 and b3733 and b3734 and b3737 and b3738 and b3736 )
RPE,5.719784626665983,1.0,7.4223616454655925,6.001911781056999e-05,;ru5p__D_c : 0.02000000000856292;xu5p__D_c : 0.004204153030356627,ru5p__D_c --> xu5p__D_c,b3386
PGI_reverse,5.192456456193652,1.0,7.422361645465472,0.00042260688781002435,;f6p_c : 0.00024103144153599755;g6p_c : 3.615907350151293e-05,f6p_c --> g6p_c,b4025
O2tex,4.426482060951949,1.0,-9999.0,-9999.0,;o2_p : 1.0;o2_e : 1.0,o2_e --> o2_p,b1377 or b0241 or b0929 or b2215
O2tpp,4.426482060951949,1.0,-9999.0,-9999.0,;o2_c : 4.999999992621096e-07;o2_p : 1.0,o2_p --> o2_c,s0001
EX_o2_e_reverse,4.426482060951949,1.0,-9999.0,-9999.0,;o2_e : 1.0, --> o2_e,
TKT1,2.8598923133329914,1.0,7.4223616454656,0.0011291034979104843,;r5p_c : 0.0012850805680502352;xu5p__D_c : 0.004204153030356627;s7p_c : 6.631106185645977e-05;g3p_c : 0.02000000000856292,r5p_c + xu5p__D_c --> g3p_c + s7p_c,b2935 or b2465
TKT2,2.8598923133329914,1.0,7.422361645465551,0.0006372713834258868,;f6p_c : 0.00024103144153599755;xu5p__D_c : 0.004204153030356627;e4p_c : 0.0004059946830592263;g3p_c : 0.02000000000856292,e4p_c + xu5p__D_c --> f6p_c + g3p_c,b2935 or b2465
TALA,2.8598923133329914,1.0,7.422361645465488,0.0020169748942978198,;f6p_c : 0.00024103144153599755;s7p_c : 6.631106185645977e-05;e4p_c : 0.0004059946830592263;g3p_c : 0.02000000000856292,g3p_c + s7p_c --> e4p_c + f6p_c,b0008 or b2464
RPI_reverse,2.859892313332991,1.0,9.009125104661235,1.2160821987086294e-05,;ru5p__D_c : 0.02000000000856292;r5p_c : 0.0012850805680502352,ru5p__D_c --> r5p_c,b2914 or b4090
GLCptspp,1.693610241902661,1.0,-9999.0,0.0002971246038425721,;glc__D_p : 1.0;pep_c : 4.999999992621104e-07;pyr_c : 9.570274794805554e-05;g6p_c : 3.615907350151293e-05,glc__D_p + pep_c --> g6p_c + pyr_c,( b2415 and b1101 and b2416 and b2417 ) or ( b2417 and b1621 and b2415 and b2416 ) or ( b1817 and b2415 and b1819 and b1818 and b2416 )
EX_dha_e,0.5273281704723307,1.0,-9999.0,-9999.0,;dha_e : 1.0,dha_e --> ,
DHAtpp_reverse,0.5273281704723307,1.0,-9999.0,-9999.0,;dha_p : 1.0;dha_c : 4.999999992621096e-07,dha_c --> dha_p,
DHAtex_reverse,0.5273281704723307,1.0,-9999.0,-9999.0,;dha_e : 1.0;dha_p : 1.0,dha_p --> dha_e,b1377 or b0241 or b0929 or b2215
F6PA,0.5273281704723307,1.0,7.422361645465465,0.00018047503748917256,;f6p_c : 0.00024103144153599755;dha_c : 4.999999992621096e-07;g3p_c : 0.02000000000856292,f6p_c --> dha_c + g3p_c,b0825 or b3946
CO2tex_reverse,0.27328718190493184,1.0,-9999.0,-9999.0,;co2_p : 1.0;co2_e : 1.0,co2_p --> co2_e,b1377 or b0241 or b0929 or b2215
CO2tpp_reverse,0.27328718190493184,1.0,-9999.0,-9999.0,;co2_p : 1.0;co2_c : 7.734493699017982e-07,co2_c --> co2_p,s0001
EX_co2_e,0.27328718190493184,1.0,-9999.0,-9999.0,;co2_e : 1.0,co2_e --> ,
