,max_Df_complete
PSP_L,48.694548108771656
GLUDy_reverse,20.990560852616575
PGK_reverse,2.64380673370826
PSERT,38.72872198156494
PGCD,1.5670879363966534
HEX1,39.968741190810185
GAPD,2.643806733708429
SUCDi,54.96163504516842
EDA,22.99454810877171
ICL,45.312375420231774
G6PDH2r,26.590354026733362
MDH,5.767087936396656
ACONTb,18.161634045168366
EDD,64.52746117237501
PGL,48.82326709033681
ACONTa,18.161634045168388
FUM,7.6000010000001
TRSARr,40.66582712720651
CS,45.04799981574681
PGM,4.100000999999933
GLYCK2,17.771281018434852
GHMT2r_reverse,35.28091387935
GLXCL,75.60818233302001
MTHFD_reverse,33.90000100000002
PPC,53.94108028938366
PPS,39.15493545710161
MTHFC_reverse,21.528720981565005
ACALD,42.977980606501674
ADK1,7.638366954831652
THRS,66.69454810877167
THRA,54.846549293025014
HSK,66.56708793639666
ASAD_reverse,12.504195083388723
HSDy_reverse,37.875475100473196
ASPK,12.50419508203819
ASPTA_reverse,18.037109145641686
PFL,69.95618215394002
GLYCK,19.43836795483158
FTHFLi,31.07672079731168
F6PA,15.797461172375098
PGI,15.797461172375145
PDH,94.14528947866167
