,max_Df_complete
PGCD,0.5223638358957245
PPS,16.00511580576681
PSERT,38.728722767210265
ADK1,7.638366954831652
EDA,16.005115805766877
PSP_L,51.82872276721038
GAPD,4.73325650600095
GLUDy_reverse,26.487628365413535
HSK,66.56708793639666
ENO_reverse,0.5223638358956926
HEX1,51.8063589313147
G6PDH2r,26.590354026733362
PGL,49.86799197648307
PGM,0.5223638358957317
EDD,58.58275375551638
PGK_reverse,4.733256506000746
THRS,69.82872276721038
ASPTA_reverse,22.48945177229237
ASAD_reverse,16.683094626623273
ASPK,14.867087936396654
SUCDi,57.051084817460676
MDH,5.767087936396656
PPC,57.07525494782239
GLYAT_reverse,91.45744196313001
MTHFC_reverse,21.528720981565005
HSDy_reverse,43.099099531204395
MTHFD_reverse,34.94472588614626
GHMT2r_reverse,41.54926319622748
THRD,6.367087936396658
FUM,8.644725886146114
MCITS,73.62872276721022
MCITD,26.806358931314637
THRD_L,88.18309462662302
MCITL2,48.11147537931423
FTHFLi,35.25562034189664
MICITDr,26.52872098156501
OBTFL,56.75744196313002
ACONTa,19.028720981565005
ACONTb,19.20635893131461
CS,61.25108481746072
MALS,68.17344686771112
ICL,47.40182519736442
