,max_Df_complete
GLUDy_reverse,44.48391981821334
PGCD,-0.03019017545422109
GAPD,-0.030190175454224644
PGK_reverse,-0.030190175454386292
PSP_L,48.22006332037118
FBA,0.5720448334569781
PSERT,39.33095599047623
XYLI2,27.428720981565007
POR5_reverse,-0.6324221843651259
FLDR2,-0.632422184365149
HEX7,45.913629111851165
TPI,0.5720448334568502
THRS,45.89085545956834
PFL,-0.632422184365149
PFK,22.142836972654052
HSK,66.56708793639666
HSDy_reverse,41.80001455359702
ADK1,7.638366954831656
ASPTA_reverse,45.09036858033039
FTHFLi,5.47303014810881
ASPK,14.229222414399878
ASAD_reverse,14.229222414399988
GLYAT_reverse,9.347042610869025
MTHFC_reverse,5.473030148108848
THRD,6.367087936396658
MTHFD_reverse,9.34704261086906
PPC,50.59630779462133
PPS,23.82600809083768
GHMT2r_reverse,9.347042610868927
