,max_Df_complete
PGL,11.876831824220783
PTAr,22.580661452776198
ACKr_reverse,22.919932852479
PGK_reverse,7.422367645465318
PGM_reverse,7.42236764546538
G6PDH2r,11.095910444871063
THRS,60.85528570906871
ENO,7.422367645465414
GAPD,7.422367645465416
HSDy_reverse,26.938372954831536
GHMT2r_reverse,18.488537024639406
HEX1,44.90635933609955
MTHFD_reverse,18.488537024639527
ACALD,24.305457891228205
PPC,11.8768303242209
GND,11.876831824220833
THRA,28.138372954831553
HSK,58.754378264197506
GLUDy_reverse,11.876831824221128
FTHFLi,18.488537024639278
ASPTA_reverse,11.876831824220966
EDA,21.917834311566853
ASPK,7.422367645465307
MTHFC_reverse,18.488537024639317
PFL,28.089119329894693
ASAD_reverse,7.42236764546556
EDD,50.317938838369386
TKT1,9.009143105661728
PGI_reverse,11.095910447219321
RPE,8.215752375063246
TKT2,9.009143104660458
TALA,9.009143104660382
RPI_reverse,9.00914310466047
F6PA,8.215752375062952
