,max_concentration,min_concentration
pep_c,-14.508655801263547,-14.50865774
nadh_c,-6.214608097994046,-14.508657740000004
13dpg_c,-13.911965477571636,-13.911967416308089
dhap_c,-4.76717668280194,-4.767180560274901
adp_c,-6.214608097994046,-14.508657740000004
g3p_c,-8.748114047410105,-8.748115986146614
nad_c,-3.912023005,-12.206072647005957
fdp_c,-3.912023005,-3.912026882472909
2pg_c,-14.250093388187452,-14.250095326923907
3pg_c,-10.812004026681718,-10.812005965418173
pi_c,-3.9120230049999805,-3.912024943736435
atp_c,-3.912023005,-12.206072647005957
