,max_concentration,min_concentration
e4p_c,-10.580891968886476,-10.580895287049104
nadph_c,-3.912023005,-12.206072647005957
xu5p__D_c,-6.222309103267868,-6.222310762349167
g3p_c,-8.569475669156967,-8.5694789873196
dhap_c,-10.065492670875733,-10.065499307201
6pgl_c,-14.508656080918719,-14.50865774
f6p_c,-7.946103677003569,-7.946105336084882
fdp_c,-14.508651103674735,-14.50865774
g6p_c,-10.593729829556,-10.593731488637314
ru5p__D_c,-3.912023004999991,-3.9120246640813026
r5p_c,-6.7922974708522075,-6.7923007890148295
nadp_c,-6.214608097994046,-14.508657740000004
s7p_c,-6.600314809535115,-6.600318127697747
