,flux,z,f,enz,met_concentration,reaction,gpr
ATPS4rpp,21.102362204720976,1.0,-9999.0,0.0007102465083511262,;h2o_c : 1.0;adp_c : 4.999999992621078e-07;h_c : 1.0;pi_c : 0.020000000008563314;atp_c : 4.999999992621083e-06;h_p : 1.0,adp_c + 4.0 h_p + pi_c --> atp_c + h2o_c + 3.0 h_c,( b3734 and b3733 and b3731 and b3735 and b3732 and b3739 and b3737 and b3738 and b3736 ) or ( b3732 and b3735 and b3731 and b3733 and b3734 and b3737 and b3738 and b3736 )
GLUDy_reverse,20.23622047244021,1.0,0.5223620502505355,0.001476132013797944,;nadph_c : 0.02000000000856292;glu__L_c : 1.0119064967299102e-05;h2o_c : 1.0;h_c : 1.0;akg_c : 4.999999992621096e-07;nadp_c : 0.0020000000008562916;nh4_c : 2.1471460261247494e-06,akg_c + h_c + nadph_c + nh4_c --> glu__L_c + h2o_c + nadp_c,b1761 or ( b3213 and b3212 )
NH4tpp,20.07874015748007,1.0,-9999.0,-9999.0,;nh4_p : 1.0;nh4_c : 2.1471460261247494e-06,nh4_p --> nh4_c,s0001 or b0451
Htex_reverse,20.07874015748007,1.0,-9999.0,-9999.0,;h_p : 1.0;h_e : 1.0,h_p --> h_e,b1377 or b0241 or b0929 or b2215
EX_nh4_e_reverse,20.07874015748007,1.0,-9999.0,-9999.0,;nh4_e : 1.0, --> nh4_e,
EX_h_e,20.07874015748007,1.0,-9999.0,-9999.0,;h_e : 1.0,h_e --> ,
DM_ser__L_c,20.07874015748007,1.0,-9999.0,-9999.0,;ser__L_c : 4.999999992621096e-07,ser__L_c --> ,
NH4tex,20.07874015748007,1.0,-9999.0,-9999.0,;nh4_p : 1.0;nh4_e : 1.0,nh4_e --> nh4_p,b0241 or b1377 or b2215 or b0929
PGCD,19.92125984251993,1.0,0.5223620502504822,0.012222744314915324,;3php_c : 4.999999992621096e-07;nad_c : 4.999999992621083e-06;nadh_c : 4.999999992621078e-07;3pg_c : 0.01333834204829798;h_c : 1.0,3pg_c + nad_c --> 3php_c + h_c + nadh_c,b2913
PSP_L,19.92125984251993,1.0,20.28910732989495,0.0001309353162657927,;pi_c : 0.020000000008563314;pser__L_c : 4.999999992621096e-07;h2o_c : 1.0;ser__L_c : 4.999999992621096e-07,h2o_c + pser__L_c --> pi_c + ser__L_c,b4388
