,max_E,min_E
PGCD,0.01227105555726892,0.0122710555572663
PSERT,0.026628714854179742,0.026628714854176512
NADH16pp,0.012220581271727664,0.008990717855294959
FBA,0.023389461318158222,0.002979375879039493
HEX1,0.007300465617494469,0.0
GLYCL,0.004766681876007083,0.004766681875990988
THRS,0.005452986104775627,0.005452986104758353
POR5_reverse,0.01114555426398642,0.004672297884542678
FLDR2,0.0016724621410212602,0.0016724621410112873
GAPD,0.008297185260453817,0.001687203228439068
GLUDy_reverse,0.007461254498874514,0.0015804759758628198
PGK_reverse,0.025946299791851726,0.0013888888888888774
ASAD_reverse,0.0186540837580439,0.0029407627865599304
THD2pp,0.001269223907245235,0.0012692239072449227
GLYAT_reverse,0.006207922752134318,0.0014348860443252358
CYTBO3_4pp,0.0011102823426096058,0.00111028234260908
GHMT2r_reverse,0.0076387272221723635,0.0010306693219213577
ASPTA_reverse,0.00525589857215229,0.0009598280420584754
THRD,0.0008320942135787576,0.0008320942135744373
ADK1,0.0003522401433550809,0.0
PGI,0.01462659326335108,0.0
PFK,0.0003243005595794407,9.493968910297413e-05
PPS,0.00039290782191816163,0.00039290782191810694
HSDy_reverse,0.0029748932978568465,0.00023192759449940466
ATPS4rpp,0.0017501658210762109,0.00022438135960345078
HSK,0.0001921787837171636,0.0001921787837170833
PPC,0.0001698604423935018,0.00016986044239307576
PSP_L,0.00013145284716013263,0.0001314528471601188
TPI,0.0016649259258414032,1.6649259258414032e-05
ASPK,0.00490112971414985,0.00012811393680343155
