,max_Df_complete
PGK_reverse,4.76683746332364
GAPD,4.766837463323805
ACKr_reverse,31.805948725023093
ENO,4.766837463323789
PGM_reverse,4.766837463323769
MTHFC_reverse,21.528720981565005
PTAr,28.81114814317818
HSDy_reverse,30.39926924930817
ASPK,8.227734757799997
THRA,44.07154804768423
MTHFD_reverse,24.604962501258342
PFL,54.200013556176145
ASAD_reverse,8.22773475780011
HSK,64.87080874081684
THRS,65.61783331146023
FTHFLi,24.604962501258186
GLUDy_reverse,26.883420521708494
ASPTA_reverse,26.88342052170843
GHMT2r_reverse,24.60496750125848
ACALD,28.81114814317827
PGL,45.623521563410016
FBA,4.766842463324053
PPC,25.535644510507222
PFK,13.641544491508839
G6PDH2r,26.590354026733362
RPI_reverse,29.258720981565006
TPI,4.7668424633239574
TKT2,37.009424056370584
TKT1,39.02976808310339
GND,37.61166106033603
TALA,31.727981677970273
RPE,24.539021464049902
HEX1,34.61307898301695
PGI,13.641544491508766
MDH2,107.69060949980653
ACONTa,14.961888518241576
FUM,30.728720981565004
ICL,38.91288436637816
CS,52.01757428215008
ACONTb,14.961888518241576
SUCDi,74.89060949980654
MALS,73.81114814317813
