,max_concentration,min_concentration
pep_c,-14.508655801263561,-14.50865774
nad_c,-3.912023005,-12.206072647005957
g3p_c,-8.063989554179393,-8.063991492915834
nadh_c,-6.214608097994046,-14.508657740000004
adp_c,-6.214608097994046,-14.508657740000004
2pg_c,-14.079062264879784,-14.079064203616223
dhap_c,-3.912023005,-3.91202494373644
3pg_c,-10.46994178006637,-10.469943718802808
13dpg_c,-13.398872107648605,-13.398874046385044
atp_c,-3.912023005,-12.206072647005957
pi_c,-3.9120230049999805,-3.9120249437364203
