,max_E,min_E
MDH2,0.01604093153738717,0.016040931537373026
GHMT2r_reverse,0.007026812099275302,0.007026812099274947
NADH16pp,0.00484398074059397,0.004843980740487573
GND,0.0059260145188628904,0.0059260143175906025
HEX1,0.0059321888074073,0.005932188807328988
THRS,0.018588458937621517,0.01858845893762031
MALS,0.0039551894908916845,0.0039551894908894806
ASAD_reverse,0.010024644709014456,0.010024644709013743
CS,0.002612968631958417,0.0026129685316953607
EDD,0.006803599701629186,0.006803599701440531
MTHFD_reverse,0.0061248594034704965,0.006124859403470179
THRA,0.0038997035881918485,0.003899703487801622
MTHFC_reverse,0.0032672603622093833,0.0032672602618824876
ICL,0.0035070563408731675,0.0035070562405212654
PFL,0.003156350716785741,0.0031563506164690755
ASPTA_reverse,0.0032719181388449104,0.0032719181388442004
GAPP,0.002565878621557857,0.002565878621476894
EDA,0.002556652247204195,0.0025566522471360113
TALA,0.0021432258435251155,0.0021432258434880727
CYTBO3_4pp,0.0016769840903409405,0.0016769840903265365
ATPS4rpp,0.0008471538789267274,0.0008471538789231031
ACONTa,0.0016049240422735082,0.001604924042272049
TKT1,0.0011997788388827797,0.001199778838865031
ACONTb,0.0016049240617672517,0.001604924061766848
SUCDi,0.001754980745448302,0.0017549807454483005
G6PDH2r,0.001417924332835655,0.001417924332834517
MGSA,0.0009967916036731773,0.000996791603445414
PGL,0.0007785293182217497,0.0007785293182211262
LCADi,0.001367555765691125,0.001367555765366266
TKT2,0.0006771608819518401,0.0006771608819417929
HSDy_reverse,0.0007906083903444219,0.0007906083903443567
HSK,0.0006551103122543359,0.0006551103122543359
ACALD,0.0005462344706158481,0.0005462344706158481
PGI_reverse,0.0004946645967527062,0.0004946645967452886
RPE,6.377596704889786e-05,6.37759670477765e-05
L_LACD2,0.00027156388897370915,0.00027156388890914405
RPI_reverse,1.2922019027063429e-05,1.2922019026874824e-05
ASPK,0.0004367223036805447,0.00043672230368051396
GLUDy_reverse,0.00041443224818374944,0.00041443224818365896
FUM,0.00013857449619375127,0.00013857449619375119
