,max_E,min_E
THRS,0.01937747673007725,0.01937747673007608
EDD,0.009186914697103525,0.009186914697049676
MDH2,0.014050282702058346,0.014050282701945657
ASAD_reverse,0.010450157284586332,0.01045015728458565
GND,0.005467143123507077,0.005467143123498642
FBA_reverse,0.005369160462504358,0.005369160462480404
THRA,0.004065232833053048,0.004065232833053048
GHMT2r_reverse,0.007325076726223468,0.007325076726223155
NADH16pp,0.004571209139201615,0.0045712091391568125
MALS,0.0034643580616081585,0.0034643580615798136
MTHFD_reverse,0.0063848391609019626,0.006384839160901683
MTHFC_reverse,0.0034059445114947434,0.0034059445114945756
EDA,0.0034522527978274116,0.0034522527978073196
ASPTA_reverse,0.003410800099725481,0.0034108000997248875
PFL,0.003290327123289849,0.003290327123288522
HEX1,0.003530648838117111,0.0035306488381013084
ICL,0.003071837288035115,0.003071837288010291
CS,0.0022887041489049443,0.002288704148886623
TALA,0.0019772686337761617,0.0019772686337731814
SUCDi,0.00153719100119543,0.0015371910011933517
TKT1,0.001106876014638343,0.0011068759145260547
ACONTa,0.0014057560470668085,0.0014057560470555888
CYTBO3_4pp,0.0014621870118813936,0.0014621870118782566
G6PDH2r,0.0015253400346290564,0.0015253400346242924
HSDy_reverse,0.0008241670672062217,0.0008241670672061609
ATPS4rpp,0.0007607862011466224,0.0007607862011456576
ACONTb,0.0014057560641421484,0.0014057560641311715
HSK,0.0006829175497518225,0.0006829175497517816
PGI_reverse,0.000849972451331901,0.0008499724513298285
PGL,0.0008375072701102364,0.000837507270107598
TKT2,0.000624726029666237,0.0006247260296652907
ACALD,0.0005694202934773522,0.0005694202934752089
FBP,0.000523832409822267,0.000523832409819702
ASPK,0.0004552597020266162,0.0004552597020265821
GLUDy_reverse,0.00043202350836736537,0.00043202350836728633
PPS,0.00022306455551083756,0.00022306455550052042
PTAr,0.0001245907393371347,0.00012459073933195172
PPC,9.643443568102598e-05,9.643443567698842e-05
ADK1,0.00019997639809503994,0.00019997639808673974
FUM,0.00012137766701894207,0.00012137766701794955
RPE,5.8837578697314596e-05,5.8837578697225115e-05
RPI_reverse,1.1921423486222006e-05,1.192142348620391e-05
ACKr_reverse,1.23923746188363e-05,1.239237461830916e-05
TPI_reverse,8.05190941730836e-06,8.051909416976335e-06
