,max_E,min_E
PGCD,0.012271055557266543,0.012271055557266326
NADH16pp,0.012886688213626075,0.012886688213618385
FBA3,0.017331613548175046,0.017331613548148574
TALA_reverse,0.013201666512961022,0.013201666512940696
PSERT,0.02662871485417708,0.026628714854176606
THRS,0.00432352811031436,0.00432352811031129
DHAPT,0.008183161933531226,0.008183161933473538
HEX1,0.0073004656174945025,0.007300465617491688
ASAD_reverse,0.0023316528465744716,0.002331652846572813
GAPD,0.0016872032284390819,0.001687203228439048
GLUDy_reverse,0.0015552945545641832,0.0015552945545602656
POR5_reverse,0.0037045411184881073,0.0037045411184706838
GLYCL,0.0037793756829581256,0.0037793756829405667
PGK_reverse,0.001388888888888889,0.0013888888888877124
F6PA,0.001240537536106477,0.0012405375360938565
FLDR2,0.0013260508905046401,0.001326050890498494
THD2pp,0.001203501426881429,0.0012035014268801086
PPS,0.0011660332772557129,0.0011660332772533942
ADK1,0.0010453437315963436,0.0010453437315942836
ASPTA_reverse,0.0007610222071364688,0.0007610222071341488
CYTBO3_4pp,0.00117080047668483,0.0011708004766844168
PFK_3,0.0010638300570297507,0.0010638300570281311
GLYAT_reverse,0.0011376831021694981,0.001137683102166208
PGI,0.0008138862431982176,0.0008138862431979214
ATPS4rpp,0.0002999037683815885,0.00029990376838128505
THRD,0.0006597454410706925,0.0006597454410688072
PSP_L,0.00013145284716013517,0.00013145284716011918
PPC,0.00013467784135393177,0.00013467784135325796
HSK,0.00015237346247440285,0.0001523734624742932
HSDy_reverse,0.0001838892407044184,0.00018388924070428483
GHMT2r_reverse,0.0008171903797691009,0.0008171903797687069
ASPK,0.00010157814387413055,0.00010157814387405516
TPI,1.6649259258414032e-05,1.6649259258387693e-05
