,flux,z,f,enz,met_concentration,reaction,gpr
RPE,5.399129539970898,1.0,9.358227847433021,5.665440450734744e-05,;ru5p__D_c : 0.02000000000856292;xu5p__D_c : 0.0019846571438395283,ru5p__D_c --> xu5p__D_c,b3386
NADH16pp,4.365253670615099,1.0,-9999.0,0.0033692170896919655,;q8_c : 0.02000000000856292;nadh_c : 4.999999992621078e-07;q8h2_c : 5.7602476205392436e-05;nad_c : 4.999999992621083e-06;h_c : 1.0;h_p : 1.0,4.0 h_c + nadh_c + q8_c --> 3.0 h_p + nad_c + q8h2_c,b2280 and b2281 and b2287 and b2288 and b2282 and b2277 and b2279 and b2284 and b2278 and b2276 and b2283 and b2286 and b2285
GLCtex_copy2,4.307816122317123,1.0,-9999.0,-9999.0,;glc__D_p : 1.0;glc__D_e : 1.0,glc__D_e --> glc__D_p,b0241 or b0929 or b1377 or b2215
GLCt2pp,4.307816122317123,1.0,-9999.0,-9999.0,;glc__D_p : 1.0;glc__D_c : 4.999999992621096e-07;h_p : 1.0;h_c : 1.0,glc__D_p + h_p --> glc__D_c + h_c,b2943
HEX1,4.307816122317123,1.0,15.641772152567123,0.003144906348745253,;g6p_c : 2.5072686573861728e-05;atp_c : 4.999999992621083e-06;glc__D_c : 4.999999992621096e-07;adp_c : 4.999999992621078e-07;h_c : 1.0,atp_c + glc__D_c --> adp_c + g6p_c + h_c,b2388
EX_glc__D_e_reverse,4.307816122317123,1.0,-9999.0,-9999.0,;glc__D_e : 1.0, --> glc__D_e,
TPI_reverse,4.307816122317123,1.0,9.358227847432921,7.17219474580336e-06,;dhap_c : 4.252184258518714e-05;g3p_c : 0.00018981214808805883,g3p_c --> dhap_c,b3919
FBA_reverse,4.307816122315187,1.0,9.35822784743295,0.00478255063025832,;fdp_c : 5.000033174349029e-07;dhap_c : 4.252184258518714e-05;g3p_c : 0.00018981214808805883,dhap_c + g3p_c --> fdp_c,b2925 or b2097
FBP,4.307816122315187,1.0,10.286195269018833,0.0004666008846708601,;f6p_c : 0.0003540383433724187;pi_c : 0.002175120716277306;h2o_c : 1.0;fdp_c : 5.000033174349029e-07,fdp_c + h2o_c --> f6p_c + pi_c,b2930 or b4232 or b3925 or b3697
RPI_reverse,2.6995647699854493,1.0,9.358227847432993,1.1479077886028142e-05,;ru5p__D_c : 0.02000000000856292;r5p_c : 0.0011223871579360532,ru5p__D_c --> r5p_c,b2914 or b4090
TALA,2.699564769985449,1.0,9.358227847432916,0.0019039018851188245,;f6p_c : 0.0003540383433724187;s7p_c : 0.0013599353356275672;e4p_c : 2.5396683358898997e-05;g3p_c : 0.00018981214808805883,g3p_c + s7p_c --> e4p_c + f6p_c,b0008 or b2464
TKT1,2.699564769985449,1.0,9.358227847433028,0.0010658051739976752,;r5p_c : 0.0011223871579360532;xu5p__D_c : 0.0019846571438395283;s7p_c : 0.0013599353356275672;g3p_c : 0.00018981214808805883,r5p_c + xu5p__D_c --> g3p_c + s7p_c,b2935 or b2465
TKT2,2.699564769985449,1.0,9.358227847432984,0.0006015455084081353,;f6p_c : 0.0003540383433724187;xu5p__D_c : 0.0019846571438395283;e4p_c : 2.5396683358898997e-05;g3p_c : 0.00018981214808805883,e4p_c + xu5p__D_c --> f6p_c + g3p_c,b2935 or b2465
THD2pp,1.550813804035636,1.0,-9999.0,7.381237334128115e-05,;nadp_c : 0.000353172279873724;nadph_c : 0.003531722798737241;nad_c : 4.999999992621083e-06;h_c : 1.0;h_p : 1.0;nadh_c : 4.999999992621078e-07,2.0 h_p + nadh_c + nadp_c --> 2.0 h_c + nad_c + nadph_c,b1602 and b1603
