,max_concentration,min_concentration
oaa_c,-14.508657319959237,-14.50865774
nadh_c,-6.214608097994046,-14.508657740000004
fum_c,-3.912023005,-3.9120234250407546
mal__L_c,-4.370938641508625,-4.370939061549388
nad_c,-3.912023005,-12.206072647005957
