,max_Df_complete
GLUDy_reverse,43.73113105707448
PGK_reverse,-0.48186343213769334
GAPD,-0.48186343213752814
FBA,-0.4818594321374192
PSP_L,47.617832311460106
HEX1,53.06708793639665
PSERT,38.72872498156513
PGCD,-0.48186343213755123
FLDR2,4.713315860606475
TPI,-0.4818594321375258
PFK,20.93837495483198
PPS,22.922661577470834
POR5_reverse,4.713315860606272
ADK1,7.638366954831649
GLYAT_reverse,21.515417679713508
PGI,18.890242386969582
THRD,6.367087936396658
ASPK,13.476433653261019
ASPTA_reverse,44.18702206696377
HSDy_reverse,40.89666804023041
ASAD_reverse,13.476433653261136
PPC,48.94017252011564
HSK,66.56708793639665
GHMT2r_reverse,42.72600609341619
GLYCL,45.0682724300598
THRS,45.1380666984295
