,max_E,min_E
NADH16pp,0.014950333988454854,0.012045551682810044
PGCD,0.012222744314920042,0.012222744314913877
PPS,0.002394572080039125,0.0023945720800362187
ENO_reverse,0.007386020907060496,0.007386020907055329
CYTBO3_4pp,0.0013748543886105632,0.0013748543886095892
EDD,0.013374844284717009,0.013374844284706058
PGM,0.0017266100064248367,0.0017266099062508285
EDA,0.005025990239898398,0.0050259902398951655
G6PDH2r,0.0009982867383036811,0.000998286738302396
GLUDy_reverse,0.0014761320137990966,0.0014761320137973843
ADK1,0.0021467233933630927,0.00030026434750788245
PSERT,0.0265238773941258,0.026523877394118506
OBTFL,0.0008158464487699695,0.0008158464487639691
GAPD,0.0008436016142195409,0.0008436016142192841
THRS,0.0010304855631083243,0.0010304855631007674
HEX1,0.007300466389926482,0.0
ATPS4rpp,0.00208246295668632,0.0007102465083511262
PGK_reverse,0.0006944444444444445,0.0006944444444442322
MCITS,0.000192587877741578,0.000192587877738454
GHMT2r_reverse,0.00019477215532855496,0.00019477215532561745
GLYAT_reverse,0.00013557978371744113,0.0
ASAD_reverse,0.0005557346998262217,0.0005557346998220687
ASPTA_reverse,0.00018138492687256666,0.00018138482684558458
MICITDr,0.0005952539090315023,0.0005952538089639552
PGL,0.0005481219806750312,0.0005481219806744449
THRD_L,9.727890990394655e-05,9.727890990325234e-05
THD2pp,0.0005246791742553602,0.0005246791742539317
MCITD,0.0002268238979648237,0.000226823697915805
MTHFD_reverse,0.00016977154832704752,0.0001697714483077551
MCITL2,0.00013107322628813121,0.00013107322628779305
MTHFC_reverse,9.056330441813482e-05,9.056330441543594e-05
PSP_L,0.00013093531626581274,0.00013093531626577785
THRD,7.862307529968131e-05,0.0
HSK,3.631725046637856e-05,3.6317250466108857e-05
MALS,5.481580914654107e-05,5.481580914185637e-05
CS,3.621368449349007e-05,3.6213684493072405e-05
ICL,4.860503548421096e-05,4.86050354815245e-05
PPC,2.4074708371431954e-05,2.4074708370658552e-05
HSDy_reverse,4.3828836755986516e-05,4.3828836755657596e-05
ASPK,2.4210507742489387e-05,2.4210507742310853e-05
SUCDi,0.0012355100592407516,7.296794994302417e-05
FUM,5.761599908444919e-06,5.761599908073349e-06
ACONTb,2.2243082612651715e-05,2.2242982609185856e-05
ACONTa,2.2243082342469388e-05,2.2242982339002736e-05
MDH,5.468066491935986e-06,5.468066491497817e-06
