,flux,z,f,enz,met_concentration,reaction,gpr
Htex_reverse,25.621475099172997,1.0,-9999.0,-9999.0,;h_p : 1.0;h_e : 1.0,h_p --> h_e,b1377 or b0241 or b0929 or b2215
EX_h_e,25.621475099172997,1.0,-9999.0,-9999.0,;h_e : 1.0,h_e --> ,
THD2pp,22.840192117241088,1.0,-9999.0,0.0010870994205476174,;nadp_c : 0.0020000000008562916;nadph_c : 0.02000000000856292;nad_c : 4.999999992621083e-06;h_c : 1.0;h_p : 1.0;nadh_c : 4.999999992621078e-07,2.0 h_p + nadh_c + nadp_c --> 2.0 h_c + nad_c + nadph_c,b1602 and b1603
ENO,17.810737549565417,1.0,4.583543426555997,0.0019641285574554554,;pep_c : 7.13340652233032e-07;h2o_c : 1.0;2pg_c : 8.604467092580351e-07,2pg_c --> h2o_c + pep_c,b2779
PGK_reverse,17.810737549565417,1.0,4.583543426555831,0.0012368567742753762,;atp_c : 4.999999992621083e-06;3pg_c : 2.494606158751632e-05;13dpg_c : 1.0467443182316276e-06;adp_c : 4.999999992621078e-07,13dpg_c + adp_c --> 3pg_c + atp_c,b2926
PGM_reverse,17.810737549565417,1.0,4.583543426555961,0.0020933376500147176,;3pg_c : 2.494606158751632e-05;2pg_c : 8.604467092580351e-07,3pg_c --> 2pg_c,b0755 or b3612
GAPD,17.810737549565417,1.0,4.583543426555995,0.0015025166947253976,;h_c : 1.0;g3p_c : 0.00017045414551724453;pi_c : 0.020000000008563314;nad_c : 4.999999992621083e-06;nadh_c : 4.999999992621078e-07;13dpg_c : 1.0467443182316276e-06,g3p_c + nad_c + pi_c --> 13dpg_c + h_c + nadh_c,b1779
ACt2rpp_reverse,16.62753339421085,1.0,-9999.0,-9999.0,;ac_c : 5.853503112636166e-07;ac_p : 1.0;h_p : 1.0;h_c : 1.0,ac_c + h_c --> ac_p + h_p,b0010
PTAr,16.62753339421085,1.0,13.05744196313002,0.0010946995861320233,;pi_c : 0.020000000008563314;accoa_c : 4.999999992621096e-07;actp_c : 4.999999992621096e-07;coa_c : 3.3057968987707667e-06,accoa_c + pi_c --> actp_c + coa_c,b2297 or b2458
ACKr_reverse,16.62753339421085,1.0,7.355176471724388,0.00010888391415449568,;ac_c : 5.853503112636166e-07;atp_c : 4.999999992621083e-06;actp_c : 4.999999992621096e-07;adp_c : 4.999999992621078e-07,actp_c + adp_c --> ac_c + atp_c,b1849 or b2296 or b3115
ACtex_reverse,16.62753339421085,1.0,-9999.0,-9999.0,;ac_p : 1.0;ac_e : 1.0,ac_p --> ac_e,b1377 or b0241 or b0929 or b2215
EX_ac_e,16.62753339421085,1.0,-9999.0,-9999.0,;ac_e : 1.0,ac_e --> ,
GLCtex_copy2,10.0,1.0,-9999.0,-9999.0,;glc__D_p : 1.0;glc__D_e : 1.0,glc__D_e --> glc__D_p,b0241 or b0929 or b1377 or b2215
EX_glc__D_e_reverse,10.0,1.0,-9999.0,-9999.0,;glc__D_e : 1.0, --> glc__D_e,
