,max_Df_complete
GLUDy_reverse,43.17976947331164
PSERT,38.72872498156539
PGCD,0.06949815162579576
PSP_L,47.61783231146033
GAPD,0.06949815162578865
PGK_reverse,0.06949815162564477
TPI,0.06949815162565187
ADK1,7.638366954831652
PPS,21.819938409944886
PGI,16.458493981476508
DHAPT,53.44760131137171
TALA_reverse,16.45849398147674
F6PA,21.78783231146036
HEX1,42.12736678468292
PFK_3,16.458493981476618
FBA3,16.458493981476575
HSDy_reverse,39.7939448727045
FLDR2,4.16195427684341
GLYAT_reverse,19.86133292842424
PPC,47.28608776882686
THRS,44.58670511466664
HSK,66.56708793639666
POR5_reverse,4.16195427684319
THRD,6.367087936396658
ASPK,12.925072069498174
ASPTA_reverse,43.084298899437854
ASAD_reverse,12.925072069498295
GLYCL,40.10601817619204
GHMT2r_reverse,40.10601817619212
