,flux,z,f,enz,met_concentration,reaction,gpr
Htex_reverse,25.696985354725566,1.0,-9999.0,-9999.0,;h_p : 1.0;h_e : 1.0,h_p --> h_e,b1377 or b0241 or b0929 or b2215
EX_h_e,25.696985354725566,1.0,-9999.0,-9999.0,;h_e : 1.0,h_e --> ,
THD2pp,19.522958519686632,1.0,-9999.0,0.0009292127135001578,;nadp_c : 0.0020000000008562916;nadph_c : 0.02000000000856292;nad_c : 4.999999992621083e-06;h_c : 1.0;h_p : 1.0;nadh_c : 4.999999992621078e-07,2.0 h_p + nadh_c + nadp_c --> 2.0 h_c + nad_c + nadph_c,b1602 and b1603
PGM_reverse,17.30792142418537,1.0,4.766832463323476,0.002034240494528405,;3pg_c : 2.0156052037375092e-05;2pg_c : 6.475334872665816e-07,3pg_c --> 2pg_c,b0755 or b3612
ENO,17.30792142418537,1.0,4.7668324633235155,0.0019086791125203608,;pep_c : 4.999999992621051e-07;h2o_c : 1.0;2pg_c : 6.475334872665816e-07,2pg_c --> h2o_c + pep_c,b2779
GAPD,17.30792142418537,1.0,4.766832463323519,0.0014600990452227753,;h_c : 1.0;g3p_c : 0.0001587604576484589;pi_c : 0.019999961233879777;nad_c : 4.999999992621083e-06;nadh_c : 4.999999992621078e-07;13dpg_c : 9.080490714957558e-07,g3p_c + nad_c + pi_c --> 13dpg_c + h_c + nadh_c,b1779
PGK_reverse,17.30792142418537,1.0,4.766832463323345,0.0012019389877906508,;atp_c : 4.999999992621083e-06;3pg_c : 2.0156052037375092e-05;13dpg_c : 9.080490714957558e-07;adp_c : 4.999999992621078e-07,13dpg_c + adp_c --> 3pg_c + atp_c,b2926
ACKr_reverse,16.778127861081853,1.0,7.538465508491907,0.00010987006854156991,;ac_c : 5.45193447885244e-07;atp_c : 4.999999992621083e-06;actp_c : 4.999999992621096e-07;adp_c : 4.999999992621078e-07,actp_c + adp_c --> ac_c + atp_c,b1849 or b2296 or b3115
ACtex_reverse,16.778127861081853,1.0,-9999.0,-9999.0,;ac_p : 1.0;ac_e : 1.0,ac_p --> ac_e,b1377 or b0241 or b0929 or b2215
ACt2rpp_reverse,16.778127861081853,1.0,-9999.0,-9999.0,;ac_c : 5.45193447885244e-07;ac_p : 1.0;h_p : 1.0;h_c : 1.0,ac_c + h_c --> ac_p + h_p,b0010
PTAr,16.778127861081853,1.0,17.928715981564764,0.0011046142076606051,;pi_c : 0.019999961233879777;accoa_c : 4.999999992621096e-07;actp_c : 4.999999992621096e-07;coa_c : 4.999999992621096e-07,accoa_c + pi_c --> actp_c + coa_c,b2297 or b2458
EX_ac_e,16.778127861081853,1.0,-9999.0,-9999.0,;ac_e : 1.0,ac_e --> ,
EX_glc__D_e_reverse,10.0,1.0,-9999.0,-9999.0,;glc__D_e : 1.0, --> glc__D_e,
GLCtex_copy2,10.0,1.0,-9999.0,-9999.0,;glc__D_p : 1.0;glc__D_e : 1.0,glc__D_e --> glc__D_p,b0241 or b0929 or b1377 or b2215
MTHFC_reverse,8.9188574936436,1.0,4.766832463323419,0.0051290296596060965,;10fthf_c : 3.0087578148674915e-05;methf_c : 4.999999992621096e-07;h2o_c : 1.0;h_c : 1.0,10fthf_c + h_c --> h2o_c + methf_c,b0529
HSDy_reverse,8.9188574936436,1.0,4.766832463323528,0.0012411174985102814,;hom__L_c : 0.0027075595934961294;nadp_c : 0.0020000000008562916;h_c : 1.0;aspsa_c : 4.999999992621096e-07;nadph_c : 0.02000000000856292,aspsa_c + h_c + nadph_c --> hom__L_c + nadp_c,b3940 or b0002
EX_nh4_e_reverse,8.9188574936436,1.0,-9999.0,-9999.0,;nh4_e : 1.0, --> nh4_e,
NH4tpp,8.9188574936436,1.0,-9999.0,-9999.0,;nh4_p : 1.0;nh4_c : 3.772895360195528e-06,nh4_p --> nh4_c,s0001 or b0451
DM_ser__L_c,8.9188574936436,1.0,-9999.0,-9999.0,;ser__L_c : 4.999999992621096e-07,ser__L_c --> ,
HSK,8.9188574936436,1.0,61.40990144633976,0.0010284091111646956,;hom__L_c : 0.0027075595934961294;atp_c : 4.999999992621083e-06;phom_c : 4.999999992621096e-07;adp_c : 4.999999992621078e-07;h_c : 1.0,atp_c + hom__L_c --> adp_c + h_c + phom_c,b0003
THRA,8.9188574936436,1.0,9.131683922941457,0.006121855392407443,;thr__L_c : 0.02000000000856292;gly_c : 0.0006239240324488855;acald_c : 0.02000000000856292,thr__L_c --> acald_c + gly_c,b2551 or b0870
MTHFD_reverse,8.9188574936436,1.0,4.766832463323528,0.009614962697589265,;nadp_c : 0.0020000000008562916;mlthf_c : 1.7515558346480335e-05;methf_c : 4.999999992621096e-07;nadph_c : 0.02000000000856292,methf_c + nadph_c --> mlthf_c + nadp_c,b0529
ASPK,8.9188574936436,1.0,4.766832463323439,0.0006855779671798367,;4pasp_c : 6.561658221191577e-06;asp__L_c : 0.005226684501230695;adp_c : 4.999999992621078e-07;atp_c : 4.999999992621083e-06,asp__L_c + atp_c --> 4pasp_c + adp_c,b3940 or b0002 or b4024
