,flux,z,f,enz,met_concentration,reaction,gpr
ATPS4rpp,25.170061078766047,1.0,-9999.0,0.0008471538789235061,;adp_c : 4.999999992621078e-07;h_c : 1.0;h_p : 1.0;h2o_c : 1.0;pi_c : 0.0014690000349167989;atp_c : 4.999999992621083e-06,adp_c + 4.0 h_p + pi_c --> atp_c + h2o_c + 3.0 h_c,( b3734 and b3733 and b3731 and b3735 and b3732 and b3739 and b3737 and b3738 and b3736 ) or ( b3732 and b3735 and b3731 and b3733 and b3734 and b3737 and b3738 and b3736 )
CYTBO3_4pp,23.914861182449926,1.0,-9999.0,0.001676984090326272,;q8h2_c : 4.999999992621096e-07;h_c : 1.0;h2o_c : 1.0;h_p : 1.0;q8_c : 0.00021124655034200236;o2_c : 4.999999992621096e-07,4.0 h_c + 0.5 o2_c + q8h2_c --> h2o_c + 4.0 h_p + q8_c,b0429 and b0432 and b0431 and b0430
H2Otex_reverse,14.798146146047129,1.0,-9999.0,-9999.0,;h2o_e : 1.0;h2o_p : 1.0,h2o_p --> h2o_e,b1377 or b2215 or b1319 or b3875 or s0001 or b0957 or b0241 or b0929
EX_h2o_e,14.798146146047129,1.0,-9999.0,-9999.0,;h2o_e : 1.0,h2o_e --> ,
H2Otpp_reverse,14.798146146047129,1.0,-9999.0,-9999.0,;h2o_c : 1.0;h2o_p : 1.0,h2o_c --> h2o_p,s0001 or b0875
G6PDH2r,14.20357777411084,1.0,9.86435949078248,0.0014179243328352237,;h_c : 1.0;g6p_c : 3.050925838678005e-05;6pgl_c : 4.999999992621096e-07;nadph_c : 0.0029023904047720188;nadp_c : 0.00029023904047720186,g6p_c + nadp_c --> 6pgl_c + h_c + nadph_c,b1852
PGL,14.20357777411084,1.0,9.86435949078248,0.0007785293182215131,;h2o_c : 1.0;h_c : 1.0;6pgc_c : 0.00011109195146911087;6pgl_c : 4.999999992621096e-07,6pgl_c + h2o_c --> 6pgc_c + h_c,b0767
O2tpp,11.957430591224963,1.0,-9999.0,-9999.0,;o2_p : 1.0;o2_c : 4.999999992621096e-07,o2_p --> o2_c,s0001
EX_o2_e_reverse,11.957430591224963,1.0,-9999.0,-9999.0,;o2_e : 1.0, --> o2_e,
O2tex,11.957430591224963,1.0,-9999.0,-9999.0,;o2_e : 1.0;o2_p : 1.0,o2_e --> o2_p,b1377 or b0241 or b0929 or b2215
MDH2,11.362862219288674,1.0,57.68490013415412,0.016040931537381314,;q8h2_c : 4.999999992621096e-07;mal__L_c : 4.999999992621096e-07;q8_c : 0.00021124655034200236;oaa_c : 5.910497757229258e-05,mal__L_c + q8_c --> oaa_c + q8h2_c,b2210
CO2tpp_reverse,9.116715036402795,1.0,-9999.0,-9999.0,;co2_c : 1.5757558751503335e-07;co2_p : 1.0,co2_c --> co2_p,s0001
GND,9.116715036402795,1.0,9.864359490782526,0.005926014418266809,;nadph_c : 0.0029023904047720188;ru5p__D_c : 0.02000000000856292;co2_c : 1.5757558751503335e-07;6pgc_c : 0.00011109195146911087;nadp_c : 0.00029023904047720186,6pgc_c + nadp_c --> co2_c + nadph_c + ru5p__D_c,b2029
EX_co2_e,9.116715036402795,1.0,-9999.0,-9999.0,;co2_e : 1.0,co2_e --> ,
CO2tex_reverse,9.116715036402795,1.0,-9999.0,-9999.0,;co2_e : 1.0;co2_p : 1.0,co2_p --> co2_e,b1377 or b0241 or b0929 or b2215
EX_glc__D_e_reverse,8.125767749833038,1.0,-9999.0,-9999.0,;glc__D_e : 1.0, --> glc__D_e,
GLCt2pp,8.125767749833038,1.0,-9999.0,-9999.0,;glc__D_p : 1.0;glc__D_c : 4.999999992621087e-07;h_c : 1.0;h_p : 1.0,glc__D_p + h_p --> glc__D_c + h_c,b2943
GLCtex_copy2,8.125767749833038,1.0,-9999.0,-9999.0,;glc__D_p : 1.0;glc__D_e : 1.0,glc__D_e --> glc__D_p,b0241 or b0929 or b1377 or b2215
HEX1,8.125767749833038,1.0,15.13564050921752,0.00593218880733789,;adp_c : 4.999999992621078e-07;g6p_c : 3.050925838678005e-05;h_c : 1.0;atp_c : 4.999999992621083e-06;glc__D_c : 4.999999992621087e-07,atp_c + glc__D_c --> adp_c + g6p_c + h_c,b2388
GLYALDtpp_reverse,7.531199377887477,1.0,-9999.0,-9999.0,;glyald_p : 1.0;glyald_c : 1.6155739644947679e-06,glyald_c --> glyald_p,b3927
GLYALDtex_reverse,7.531199377887477,1.0,-9999.0,-9999.0,;glyald_p : 1.0;glyald_e : 1.0,glyald_p --> glyald_e,b1377 or b0241 or b0929 or b2215
GAPP,7.531199377887477,1.0,26.85435037843088,0.002565878621477739,;h2o_c : 1.0;glyald_c : 1.6155739644947679e-06;pi_c : 0.0014690000349167989;g3p_c : 2.6669582130537173e-05,g3p_c + h2o_c --> glyald_c + pi_c,b1727
EX_glyald_e,7.531199377887477,1.0,-9999.0,-9999.0,;glyald_e : 1.0,glyald_e --> ,
NADH16pp,6.275999481580625,1.0,-9999.0,0.004843980740587713,;h_c : 1.0;h_p : 1.0;nadh_c : 4.999999992621078e-07;q8h2_c : 4.999999992621096e-07;nad_c : 4.999999992621083e-06;q8_c : 0.00021124655034200236,4.0 h_c + nadh_c + q8_c --> 3.0 h_p + nad_c + q8h2_c,b2280 and b2281 and b2287 and b2288 and b2282 and b2277 and b2279 and b2284 and b2278 and b2276 and b2283 and b2286 and b2285
PGI_reverse,6.077810024277802,1.0,9.864359490782483,0.0004946645967530128,;f6p_c : 0.0005242179147187425;g6p_c : 3.050925838678005e-05,f6p_c --> g6p_c,b4025
RPE,6.07781002426853,1.0,9.864359490782608,6.377596704886182e-05,;xu5p__D_c : 0.0016310028219376832;ru5p__D_c : 0.02000000000856292,ru5p__D_c --> xu5p__D_c,b3386
EX_h_e,5.681431109644343,1.0,-9999.0,-9999.0,;h_e : 1.0,h_e --> ,
Htex_reverse,5.681431109644343,1.0,-9999.0,-9999.0,;h_e : 1.0;h_p : 1.0,h_p --> h_e,b1377 or b0241 or b0929 or b2215
ACONTb,5.681431109644338,1.0,9.864359490782554,0.001604924061767252,;h2o_c : 1.0;acon_C_c : 1.7466896272928242e-05;icit_c : 4.999999992621096e-07,acon_C_c + h2o_c --> icit_c,b0118 or b1276
CS,5.681431109644338,1.0,12.668554572820856,0.0026129685316953616,;h_c : 1.0;oaa_c : 5.910497757229258e-05;h2o_c : 1.0;cit_c : 0.019999984498682274;accoa_c : 4.999999992621096e-07;coa_c : 2.244357413808093e-05,accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c,b0720
ICL,5.681431109644338,1.0,28.717828311460007,0.0035070562405211964,;glx_c : 4.999999992621096e-07;succ_c : 4.999999992621096e-07;icit_c : 4.999999992621096e-07,icit_c --> glx_c + succ_c,b4015
