,flux,z,f,enz,met_concentration,reaction,gpr
ATPS4rpp,22.60396325523754,1.0,-9999.0,0.0007607862011456692,;h2o_c : 1.0;adp_c : 4.999999992621078e-07;h_c : 1.0;pi_c : 0.003460330126062697;atp_c : 4.999999992621083e-06;h_p : 1.0,adp_c + 4.0 h_p + pi_c --> atp_c + h2o_c + 3.0 h_c,( b3734 and b3733 and b3731 and b3735 and b3732 and b3739 and b3737 and b3738 and b3736 ) or ( b3732 and b3735 and b3731 and b3733 and b3734 and b3737 and b3738 and b3736 )
CYTBO3_4pp,20.851718041714488,1.0,-9999.0,0.0014621870118813809,;q8_c : 0.02000000000856292;o2_c : 4.999999992621096e-07;h2o_c : 1.0;h_c : 1.0;q8h2_c : 0.00011221730003823547;h_p : 1.0,4.0 h_c + 0.5 o2_c + q8h2_c --> h2o_c + 4.0 h_p + q8_c,b0429 and b0432 and b0431 and b0430
PGL,15.279578262424135,1.0,7.63836595483178,0.0008375072701076536,;6pgl_c : 4.999999992621087e-07;6pgc_c : 0.00026334922048374017;h2o_c : 1.0;h_c : 1.0,6pgl_c + h2o_c --> 6pgc_c + h_c,b0767
G6PDH2r,15.279578262424135,1.0,7.638365954831564,0.0015253400346243113,;g6p_c : 1.2870108541945367e-05;nadph_c : 0.006880266666742198;nadp_c : 0.0006880266666742197;6pgl_c : 4.999999992621087e-07;h_c : 1.0,g6p_c + nadp_c --> 6pgl_c + h_c + nadph_c,b1852
H2Otex_reverse,13.387153431817097,1.0,-9999.0,-9999.0,;h2o_p : 1.0;h2o_e : 1.0,h2o_p --> h2o_e,b1377 or b2215 or b1319 or b3875 or s0001 or b0957 or b0241 or b0929
H2Otpp_reverse,13.387153431817097,1.0,-9999.0,-9999.0,;h2o_p : 1.0;h2o_c : 1.0,h2o_c --> h2o_p,s0001 or b0875
EX_h2o_e,13.387153431817097,1.0,-9999.0,-9999.0,;h2o_e : 1.0,h2o_e --> ,
PGI_reverse,10.443381472945704,1.0,7.6383659548315705,0.0008499724513298554,;f6p_c : 9.328524912554051e-05;g6p_c : 1.2870108541945367e-05,f6p_c --> g6p_c,b4025
O2tpp,10.425859020857244,1.0,-9999.0,-9999.0,;o2_c : 4.999999992621096e-07;o2_p : 1.0,o2_p --> o2_c,s0001
O2tex,10.425859020857244,1.0,-9999.0,-9999.0,;o2_p : 1.0;o2_e : 1.0,o2_e --> o2_p,b1377 or b0241 or b0929 or b2215
EX_o2_e_reverse,10.425859020857244,1.0,-9999.0,-9999.0,;o2_e : 1.0, --> o2_e,
MDH2,9.952752813232367,1.0,40.43836595483165,0.014050282702057968,;q8_c : 0.02000000000856292;q8h2_c : 0.00011221730003823547;mal__L_c : 4.999999992621096e-07;oaa_c : 0.02000000000856309,mal__L_c + q8_c --> oaa_c + q8h2_c,b2210
GND,8.410777025200913,1.0,7.6383659548316025,0.0054671431234988195,;ru5p__D_c : 0.010229862256855076;nadph_c : 0.006880266666742198;nadp_c : 0.0006880266666742197;6pgc_c : 0.00026334922048374017;co2_c : 1.7312031262146087e-06,6pgc_c + nadp_c --> co2_c + nadph_c + ru5p__D_c,b2029
Htex_reverse,7.81501365252668,1.0,-9999.0,-9999.0,;h_p : 1.0;h_e : 1.0,h_p --> h_e,b1377 or b0241 or b0929 or b2215
EX_h_e,7.81501365252668,1.0,-9999.0,-9999.0,;h_e : 1.0,h_e --> ,
EX_co2_e,7.464564609897393,1.0,-9999.0,-9999.0,;co2_e : 1.0,co2_e --> ,
CO2tex_reverse,7.464564609897393,1.0,-9999.0,-9999.0,;co2_p : 1.0;co2_e : 1.0,co2_p --> co2_e,b1377 or b0241 or b0929 or b2215
CO2tpp_reverse,7.464564609897393,1.0,-9999.0,-9999.0,;co2_p : 1.0;co2_c : 1.7312031262146087e-06,co2_c --> co2_p,s0001
EDA,6.868801237223223,1.0,21.02724823414016,0.0034522527978075443,;2ddg6p_c : 0.02000000000856292;pyr_c : 7.062208578285927e-07;g3p_c : 0.02000000000856292,2ddg6p_c --> g3p_c + pyr_c,b1850
EDD,6.868801237223223,1.0,31.932913063603213,0.009186914697050392,;6pgc_c : 0.00026334922048374017;2ddg6p_c : 0.02000000000856292;h2o_c : 1.0,6pgc_c --> 2ddg6p_c + h2o_c,b1851
HSDy_reverse,5.922588821919703,1.0,7.638365954831746,0.0008241670672061609,;hom__L_c : 0.0008892460333824687;nadp_c : 0.0006880266666742197;h_c : 1.0;aspsa_c : 4.999999992621096e-07;nadph_c : 0.006880266666742198,aspsa_c + h_c + nadph_c --> hom__L_c + nadp_c,b3940 or b0002
MTHFD_reverse,5.922588821919703,1.0,7.638365954831745,0.006384839160901684,;nadp_c : 0.0006880266666742197;mlthf_c : 0.00012492820228026546;methf_c : 1.0858318987170894e-05;nadph_c : 0.006880266666742198,methf_c + nadph_c --> mlthf_c + nadp_c,b0529
EX_nh4_e_reverse,5.922588821919703,1.0,-9999.0,-9999.0,;nh4_e : 1.0, --> nh4_e,
HSK,5.922588821919703,1.0,58.53836795483154,0.0006829175497517816,;hom__L_c : 0.0008892460333824687;atp_c : 4.999999992621083e-06;phom_c : 4.999999992621096e-07;adp_c : 4.999999992621078e-07;h_c : 1.0,atp_c + hom__L_c --> adp_c + h_c + phom_c,b0003
ASPK,5.922588821919703,1.0,7.638365954831659,0.0004552597020265821,;4pasp_c : 3.4566712137804294e-06;asp__L_c : 0.008383528415505211;adp_c : 4.999999992621078e-07;atp_c : 4.999999992621083e-06,asp__L_c + atp_c --> 4pasp_c + adp_c,b3940 or b0002 or b4024
DM_ser__L_c,5.922588821919703,1.0,-9999.0,-9999.0,;ser__L_c : 4.999999992621096e-07,ser__L_c --> ,
ACALD,5.922588821919703,1.0,7.638365954831745,0.0005694202934758758,;h_c : 1.0;accoa_c : 4.999999992621096e-07;nad_c : 4.999999992621083e-06;nadh_c : 4.999999992621078e-07;acald_c : 0.0008954138846591897;coa_c : 4.999999992621096e-07,acald_c + coa_c + nad_c --> accoa_c + h_c + nadh_c,b0351 or b1241
MTHFC_reverse,5.922588821919703,1.0,7.6383659548316425,0.0034059445114945756,;10fthf_c : 0.001989463204052754;methf_c : 1.0858318987170894e-05;h2o_c : 1.0;h_c : 1.0,10fthf_c + h_c --> h2o_c + methf_c,b0529
NH4tpp,5.922588821919703,1.0,-9999.0,-9999.0,;nh4_p : 1.0;nh4_c : 4.408816454438527e-06,nh4_p --> nh4_c,s0001 or b0451
NH4tex,5.922588821919703,1.0,-9999.0,-9999.0,;nh4_p : 1.0;nh4_e : 1.0,nh4_e --> nh4_p,b0241 or b1377 or b2215 or b0929
ASAD_reverse,5.922588821919703,1.0,7.6383659548317695,0.01045015728458565,;nadp_c : 0.0006880266666742197;nadph_c : 0.006880266666742198;pi_c : 0.003460330126062697;h_c : 1.0;aspsa_c : 4.999999992621096e-07;4pasp_c : 3.4566712137804294e-06,4pasp_c + h_c + nadph_c --> aspsa_c + nadp_c + pi_c,b3433
PFL,5.922588821919703,1.0,7.638365954831556,0.003290327123288724,;accoa_c : 4.999999992621096e-07;coa_c : 4.999999992621096e-07;for_c : 0.00013572872388069554;pyr_c : 7.062208578285927e-07,coa_c + pyr_c --> accoa_c + for_c,( b3951 and b3952 ) or ( b0902 and b0903 ) or ( b0902 and b3114 ) or ( b0903 and b0902 and b2579 )
GHMT2r_reverse,5.922588821919703,1.0,7.638365954831613,0.007325076726223155,;mlthf_c : 0.00012492820228026546;gly_c : 0.02000000000856292;thf_c : 0.02000000000856292;ser__L_c : 4.999999992621096e-07;h2o_c : 1.0,gly_c + h2o_c + mlthf_c --> ser__L_c + thf_c,b2551
FTHFLi,5.922588821919703,1.0,7.63836595483161,-9999.0,;10fthf_c : 0.001989463204052754;thf_c : 0.02000000000856292;adp_c : 4.999999992621078e-07;pi_c : 0.003460330126062697;atp_c : 4.999999992621083e-06;for_c : 0.00013572872388069554,atp_c + for_c + thf_c --> 10fthf_c + adp_c + pi_c,
ASPTA_reverse,5.922588821919703,1.0,7.638365954831711,0.0034108000997248875,;akg_c : 4.999999992621096e-07;glu__L_c : 1.3161061628073133e-06;asp__L_c : 0.008383528415505211;oaa_c : 0.02000000000856309,glu__L_c + oaa_c --> akg_c + asp__L_c,b0928 or b4054
GLUDy_reverse,5.922588821919703,1.0,7.63836595483178,0.00043202350836728633,;nadph_c : 0.006880266666742198;glu__L_c : 1.3161061628073133e-06;h2o_c : 1.0;h_c : 1.0;akg_c : 4.999999992621096e-07;nadp_c : 0.0006880266666742197;nh4_c : 4.408816454438527e-06,akg_c + h_c + nadph_c + nh4_c --> glu__L_c + h2o_c + nadp_c,b1761 or ( b3213 and b3212 )
THRA,5.922588821919703,1.0,8.200000999999906,0.004065232833053048,;thr__L_c : 0.02000000000856292;gly_c : 0.02000000000856292;acald_c : 0.0008954138846591897,thr__L_c --> acald_c + gly_c,b2551 or b0870
THRS,5.922588821919703,1.0,15.484902135505022,0.01937747673007608,;pi_c : 0.003460330126062697;thr__L_c : 0.02000000000856292;phom_c : 4.999999992621096e-07;h2o_c : 1.0,h2o_c + phom_c --> pi_c + thr__L_c,b0004
NADH16pp,5.922588821865938,1.0,-9999.0,0.004571209139155842,;q8_c : 0.02000000000856292;nadh_c : 4.999999992621078e-07;q8h2_c : 0.00011221730003823547;nad_c : 4.999999992621083e-06;h_c : 1.0;h_p : 1.0,4.0 h_c + nadh_c + q8_c --> 3.0 h_p + nad_c + q8h2_c,b2280 and b2281 and b2287 and b2288 and b2282 and b2277 and b2279 and b2284 and b2278 and b2276 and b2283 and b2286 and b2285
RPE,5.607184683467275,1.0,7.638365954831693,5.8837578697226484e-05,;ru5p__D_c : 0.010229862256855076;xu5p__D_c : 0.0019776250024260912,ru5p__D_c --> xu5p__D_c,b3386
ACONTa,4.9763764066161835,1.0,7.638365954831649,0.0014057560470667186,;acon_C_c : 7.368283033090578e-06;h2o_c : 1.0;cit_c : 0.0035590228492430086,cit_c --> acon_C_c + h2o_c,b0118 or b1276
CS,4.9763764066161835,1.0,41.951989071901735,0.0022887041489047175,;h2o_c : 1.0;cit_c : 0.0035590228492430086;h_c : 1.0;accoa_c : 4.999999992621096e-07;oaa_c : 0.02000000000856309;coa_c : 4.999999992621096e-07,accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c,b0720
ICL,4.9763764066161835,1.0,28.717828311460007,0.003071837288034681,;glx_c : 4.999999992621096e-07;icit_c : 4.999999992621096e-07;succ_c : 4.999999992621096e-07,icit_c --> glx_c + succ_c,b4015
FUM,4.9763764066161835,1.0,7.63836595483169,0.00012137766701891375,;mal__L_c : 4.999999992621096e-07;h2o_c : 1.0;fum_c : 2.586400917567371e-06,fum_c + h2o_c --> mal__L_c,b4122 or b1612 or b1611
