,flux,z,f,enz,met_concentration,reaction,gpr
Htex_reverse,25.16977147792525,1.0,-9999.0,-9999.0,;h_p : 1.0;h_e : 1.0,h_p --> h_e,b1377 or b0241 or b0929 or b2215
EX_h_e,25.16977147792525,1.0,-9999.0,-9999.0,;h_e : 1.0,h_e --> ,
PTAr,16.77984765195015,1.0,17.92872098156505,0.001104727432773863,;pi_c : 0.020000000008563314;accoa_c : 4.999999992621096e-07;actp_c : 4.999999992621096e-07;coa_c : 4.999999992621096e-07,accoa_c + pi_c --> actp_c + coa_c,b2297 or b2458
ACtex_reverse,16.77984765195015,1.0,-9999.0,-9999.0,;ac_p : 1.0;ac_e : 1.0,ac_p --> ac_e,b1377 or b0241 or b0929 or b2215
ACt2rpp_reverse,16.77984765195015,1.0,-9999.0,-9999.0,;ac_c : 4.999999992621096e-07;ac_p : 1.0;h_p : 1.0;h_c : 1.0,ac_c + h_c --> ac_p + h_p,b0010
ACKr_reverse,16.77984765195015,1.0,7.761633045168352,0.00010988133043813795,;ac_c : 4.999999992621096e-07;atp_c : 4.999999992621083e-06;actp_c : 4.999999992621096e-07;adp_c : 4.999999992621078e-07,actp_c + adp_c --> ac_c + atp_c,b1849 or b2296 or b3115
EX_ac_e,16.77984765195015,1.0,-9999.0,-9999.0,;ac_e : 1.0,ac_e --> ,
THD2pp,13.079110779535352,1.0,-9999.0,0.0006225120032584224,;nadp_c : 0.001765564083832128;nadph_c : 0.017655640838321284;nad_c : 4.999999992621083e-06;h_c : 1.0;h_p : 1.0;nadh_c : 4.999999992621078e-07,2.0 h_p + nadh_c + nadp_c --> 2.0 h_c + nad_c + nadph_c,b1602 and b1603
GAPD,12.740147374478294,1.0,5.207916730333714,0.0010747608890504736,;h_c : 1.0;g3p_c : 0.00031466829902668296;pi_c : 0.020000000008563314;nad_c : 4.999999992621083e-06;nadh_c : 4.999999992621078e-07;13dpg_c : 1.5168539956993599e-06,g3p_c + nad_c + pi_c --> 13dpg_c + h_c + nadh_c,b1779
ENO,12.740147374478294,1.0,5.207921730334036,0.0014049551409517306,;pep_c : 5.000009686310728e-07;h2o_c : 1.0;2pg_c : 7.683178940634711e-07,2pg_c --> h2o_c + pep_c,b2779
