,max_Df_complete
MDH2,97.31215715320316
G6PDH2r,9.358232127238352
PGL,11.543257176290044
HSDy_reverse,48.545194462653924
PGI_reverse,9.358232126202523
GHMT2r_reverse,37.479353223095565
GND,11.54325717628987
ACALD,42.97798060650166
THRS,92.94654929302507
ACONTa,10.37049313413204
SUCDi,63.34235888485806
ICL,29.730093601232074
PFL,73.09990042399403
HSK,66.56708793639666
CS,44.803297064202624
MTHFD_reverse,26.10886008896368
FTHFLi,38.15949233049438
GLUDy_reverse,30.899891866467264
THRA,54.846549293025014
ASPK,14.867087936396654
MTHFC_reverse,21.528720981565005
MALS,62.26289752822966
EDA,33.92940728986207
ASPTA_reverse,30.899891866467406
FUM,30.728720981565004
ASAD_reverse,30.965055355255384
ACONTb,10.370493134132026
EDD,54.784234892200544
FBA_reverse,9.358244962511481
TPI_reverse,9.358244962511439
RPE,9.358232126202632
HEX1,42.97049313413212
FBP,31.893022776841157
TALA,9.358239092229255
RPI_reverse,9.358236404972235
TKT1,9.358236404972281
TKT2,9.35823640497224
