,max_E,min_E
THRS,0.029180643589897515,0.029180643589896447
ASAD_reverse,0.015736946529604653,0.015736946529604043
GHMT2r_reverse,0.011030871366487218,0.011030871366486948
THRA,0.006121855392407442,0.006121855392402192
MTHFD_reverse,0.009614962697589498,0.009614962697588917
FBA,0.0074373643780246785,0.007437364378015177
GND,0.005249685788691643,0.005249685788690356
ASPTA_reverse,0.005136341715326738,0.005136341715326339
PFL,0.004954920829802885,0.0049549208298019995
PGM_reverse,0.0020342404945288706,0.002034240494527991
NADH16pp,0.005174184126748827,0.00517418412672177
MTHFC_reverse,0.005129029659606225,0.005129029659605909
TALA,0.0018986221528625154,0.001898622152862051
ENO,0.0019086791125215044,0.0019086791125201498
GLCptspp,0.001564711840991419,0.001564711840986219
MDH2,0.0014958171824452598,0.001495817182401852
GAPD,0.0014600990452236676,0.0014600990452224637
HSDy_reverse,0.0012411174985103315,0.0012411174985102814
TKT1,0.0010628495773883665,0.0010628495773843916
PTAr,0.0011046142076608664,0.001104614207660515
THD2pp,0.0009292127135020785,0.0009292127135001669
PGK_reverse,0.0012019389877913735,0.001201938987790514
HSK,0.0010284091111646956,0.0010284091111646956
G6PDH2r,0.0008062399022118826,0.0008062399022087313
HEX1,0.0007892843695298742,0.0007892843695210234
ACALD,0.0008574929991264032,0.0008574929991255972
PPC,0.0008549820663083134,0.0008549820663053979
ASPK,0.0006855779671798639,0.0006855779671798367
TKT2,0.0005998773556271503,0.0005998773556248095
GLUDy_reverse,0.0006505864615776958,0.0006505864615775973
CYTBO3_4pp,0.0005815449303854934,0.0005815449303850264
PGL,0.00044267623233243555,0.0004426762323307037
MALS,0.00036882149808524836,0.0003688214980772956
ICL,0.00032703306364405217,0.00032703306363693184
CS,0.00024365936715401462,0.00024365936714930127
SUCDi,0.00016365198915209921,0.00016365198914878904
PFK,0.00023699630072282227,0.00023699630072251984
ACONTb,0.00014965920043715983,0.00014965920043406476
ACONTa,0.0001496591986161675,0.0001496591986161685
PGI,0.0001565725276614301,0.0001565725276588234
ACKr_reverse,0.00010987006854158864,0.00010987006854156118
RPE,5.649729552538029e-05,5.6497295525159904e-05
FUM,1.2922074505196301e-05,1.2922074504928856e-05
ATPS4rpp,3.566274000027324e-05,3.5662739999351074e-05
RPI_reverse,1.1447245122868584e-05,1.1447245122866069e-05
TPI,1.2167147843157263e-05,1.21671478431349e-05
