,kcat,MW,kcat_MW
PUNP1_reverse,36,25.9498922,1.387289
PUNP2,16381.18715,25.9499,631.262053
PUNP2_reverse,9843.444108,25.94990001,379.324934
PUNP3,16041.29791,25.94990001,618.164151
PUNP3_reverse,9803.384518,25.9499,377.781206
PUNP4,15875.68535,25.94989999,611.78214
PUNP4_reverse,9382.349419,25.94990001,361.556284
PUNP5,18776.87584,25.94989999,723.581819
PUNP5_reverse,9894.50248,25.9499,381.292509
PUNP6,19606.60291,25.94990001,755.55601
PUNP6_reverse,9464.634994,25.94990001,364.727224
PUNP7,19138.3919,29.83459999,641.483107
PUNP7_reverse,32703.33227,29.8346,1096.154541
PYAM5PO,9300.846143,25.54519997,364.093691
PYDAMK,9300.695926,30.8474,301.50664
PYDXK,9301.044856,30.84740005,301.517951
PYDXNK,9300.850736,30.84739995,301.511659
PYDXPP,29369.90364,27.16299999,1081.246683
PYK2,27680.85888,51.35710002,538.987966
PYK3,45020.63808,51.35709998,876.619554
PYK4,23979.27789,51.35709995,466.912616
PYK6,23858.79456,51.35709999,464.566624
PYNP2r,44972.73011,27.1591,1655.899132
PYNP2r_reverse,10466.8948,27.15910003,385.391813
PYROX,22380.99194,59.96819999,373.214336
QMO2,24600.84318,11.5324,2133.193713
QMO3,33447.80076,11.5324,2900.333041
QUINDH,9439.253176,31.22779998,302.270835
QUINDHyi,9660.842064,31.22780002,309.36672
QULNS,1656,38.24080033,43.304533
R15BPK,17862.19588,20.72959999,861.675859
R5PP,9881.341639,20.7798,475.526311
R5PPpp,23570.47054,26.10349999,902.962076
RBFK,324,34.73430136,9.327955
RBFSa,36,16.15650266,2.228205
RBFSb,108,23.44489776,4.606546
RBK,59351.15383,32.2905,1838.037622
RBK_L1,26478.88451,61.08939994,433.444829
RBP4E,84320.75084,25.2777,3335.776231
RBP4E_reverse,22153.75973,25.27770001,876.415169
REPHACCOAI,19156.91578,28.40460002,674.430049
REPHACCOAI_reverse,10703.34754,28.40459998,376.817401
RHAT1,34002.42145,36.7305,925.72716
RHCCE,10.8,19.41618411,0.556237
RHMND,28119.95353,44.22599997,635.82403
RHMND_reverse,16526.48756,44.22600002,373.68262
RMI,34888.97517,47.19940001,739.182599
RMI_reverse,18114.75932,47.19940005,383.792152
RMK,33912.96639,54.06899999,627.216453
