reaction	g0
CYTK1_reverse	2.4
CYTK2	-2.3
CYTK2_reverse	2.3
DAAD	-28.5
DADA	-17.8
DADK	0.4
DADK_reverse	-0.4
DAGK120	-18
DAGK140	-18
DAGK141	-18
DAGK160	-18
DAGK161	-18
DAGK180	-18
DAGK181	-18
DAPAL	-3.3
DAPDC	-14.4
DAPE	-1.7
DAPE_reverse	1.7
DATPHs	-19.3
DB4PS	-84.4
DBTS	3.6
DCTPD	-24.5
DCYTD	-21.2
DDGALK	-16.1
DDGLK	-22.9
DDPA	-68.9
DDPGALA	13.1
DDPGALA_reverse	-13.1
DGK1	0.9
DGK1_reverse	-0.9
DHACOAH	-0.72
DHACOAH_reverse	0.72
DHAD1	-35.5
DHAD2	-35.5
DHAPT	-41.4
DHBD	-29.4
DHBD_reverse	29.4
DHBSH	4.47
DHCIND	-29.5
DHCINDO	-259.9
DHCURR	-47.1
DHDPRy	-21.6
DHDPS	-114
DHFR	-24
DHFR_reverse	24
DHMPTR	24
DHNCOAS	-74.4
DHNCOAT	-25
DHNPA2r_reverse	-12
DHORD2	-71.9
DHORD5	-35.8
DHORDfum	-50.4
DHORTS	-6.5
DHORTS_reverse	6.5
DHPPD	-29.5
DHPS2	-50.6
DHPTPE	0
DHPTPE_reverse	0
DHQS	-131
DHQTi	-5.3
DKGLCNR1	-33.8
DKGLCNR2x	-25.7
DKGLCNR2y	-23.8
DMATT	-73.4
DMPPS	-66.4
DMSOR1	-204
DMSOR2	-204
DNMPPA	-14.5
DNTPPA	-44.5
DOGULNR	-17.8
DPCOAK	0.9
DPR	-17.7
DRPA	20.3
DSERDHr	23.5
DSERDHr_reverse	-23.5
DTARTD	-35.3
DTMPK	-2.7
DTMPK_reverse	2.7
DURADx	-1.1
DURADx_reverse	1.1
DURIK1	-15.8
DURIPP	3.3
DURIPP_reverse	-3.3
DUTPDP	-42.3
DXPRIi	-20.4
DXPS	-26.1
DXYLK	-12.3
DXYLTD	-41.9
DXYLTD_reverse	41.9
E4PD	-47.3
E4PD_reverse	47.3
E4PP	-16.4
ECOAH1	3.8
ECOAH1_reverse	-3.8
ECOAH2	1
ECOAH2_reverse	-1
ECOAH3	0.7
ECOAH3_reverse	-0.7
ECOAH4	0.7
ECOAH4_reverse	-0.7
ECOAH5	0.7
ECOAH5_reverse	-0.7
ECOAH6	0.7
ECOAH6_reverse	-0.7
ECOAH7	0.7
ECOAH7_reverse	-0.7
ECOAH8	0.66
ECOAH8_reverse	-0.66
EDA	15.5
EDD	-43.1
ENO	-4.1
ENO_reverse	4.1
ENTCS	-69.5
ENTERES	-170
ETHAAL	-36.4
F1PP	-10.5
F6PA	18.6
F6PA_reverse	-18.6
F6PP	-11.8
FACOAE100	-25
FACOAE120	-25
FACOAE140	-25
FACOAE141	-25
FACOAE160	-25.2
FACOAE161	-25.2
FACOAE180	-27.9
FACOAE181	-25
FACOAE60	-25
FACOAE80	-25
FADRx	-11.3
FADRx2	-12.3
FALDH2	-20
FALDH2_reverse	20
FALGTHLs	-11.7
FALGTHLs_reverse	11.7
FBA	20
FBA_reverse	-20
FBA3	12.5
FBA3_reverse	-12.5
FBP	-11.4
FCI	5.48
FCI_reverse	-5.48
FCLK	-20.8
FCLPA	19.8
FCLPA_reverse	-19.8
FE3Ri	-190
FHL	-5.58
FLDR2	15.6
FLVR	16.3
FLVRx	17.3
FMNAT	-13.4
FMNRx	-18.8
FMNRx2	-19.8
FORCT	1.6
FORCT_reverse	-1.6
FRD2	-14.5
FRD3	-14.5
FRUK	-16.8
FRULYSDG	3.81
FRULYSDG_reverse	-3.81
FRULYSE	-0.1
FRULYSE_reverse	0.1
FRULYSK	-10.3
FTHFD	-24.4
FTHFLi	-4.1
FUM	-3.4
FUM_reverse	3.4
G1PACT	-18.5
G1PP	-16.2
G1PTT	-0.6
G1SAT	-7.8
G1SAT_reverse	7.8
G2PP	-23.4
G3PD2	24.4
G3PD2_reverse	-24.4
G3PD5	-58.3
G3PD6	-22.2
G3PD7	-22.2
G3PT	-10.6
G5SADs	8.8
G5SD	-6.9
G6PDA	2.7
G6PDH2r	-5.2
G6PDH2r_reverse	5.2
G6PP	-8.8
GALCTD	-41.9
GALCTLO	14.5
GALCTND	-41.9
GALKr	-13.5
GALKr_reverse	13.5
GALS3	-10.7
GALT1	-16.6
GALUi	1.5
GAPD	4.4
GAPD_reverse	-4.4
GAPP	-2.8
GARFT	2.3
GARFT_reverse	-2.3
GART	-1.8
GCALDD	-64.5
GDMANE	0.8
GDPDPK	-2.6
GDPMNH	-18.2
GDPMNP	-32.8
GF6PTA	-13.7
GGGABADr	-41.7
GGGABADr_reverse	41.7
GGGABAH	-16.5
GGPTRCO	-94.2
GGPTRCS	-20.8
GHBDHx	2.7
GHBDHx_reverse	-2.7
GHMT2r	-6.6
GHMT2r_reverse	6.6
GK1	-2.6
GK1_reverse	2.6
GLCATr	-1.5
GLCATr_reverse	1.5
GLCP	7.8
GLCP2	7.8
GLCRAL	21.8
GLCRD	-41.9
GLCS1	-13
GLCTR1	-12.8
GLCTR3	-12.8
GLGC	-7.1
GLNS	-17
GLTPD	11.3
GLTPD_reverse	-11.3
GLU5K	26.8
GLUCYS	-33.2
GLUDC	-22.1
GLUDy	36
GLUDy_reverse	-36
GLUN	-11.5
GLUPRT	-57.1
GLUR	-0.6
GLUR_reverse	0.6
GLUSy	-47.5
GLXCL	-16.8
GLYAT	36.8
GLYAT_reverse	-36.8
GLYCDx	21.7
GLYCK	-13.5
GLYCK2	-9.3
GLYCL	22.5
GLYCLTDx	-41.7
GLYCLTDy	-42.7
GLYCTO2	-40.1
GLYCTO3	-4.05
GLYCTO4	-4.1
GLYK	-18
GLYOX	-32.9
GLYOX3	-56.3
GMAND	-56.1
GMHEPAT	-9.7
GMHEPK	-9.34
GMHEPPA	-9.46
GND	11.2
GNK	-12.6
GNP	-8.8
GOFUCR	-4.5
GP4GH	-40.1
GPDDA1	-8.1
GPDDA2	-3.3
GPDDA3	-10.2
GPDDA4	-10.6
GRTT	-75.1
GRXR	5.7
GSNK	-23.1
GSPMDA	-3.1
GSPMDS	-25.4
GTHOr	-14.6
GTHOr_reverse	14.6
GTHPi	-310
GTHS	-27.1
GTPDPDP	-26.1
GTPHs	-55
GUACYC	5.1
GUAPRT	-30.4
GUI1	0.6
GUI1_reverse	-0.6
GUI2	1.4
GUI2_reverse	-1.4
H2SO	-799
HACD1	-15.1
HACD1_reverse	15.1
HACD2	-21.7
HACD2_reverse	21.7
HACD3	-17.7
HACD3_reverse	17.7
HACD4	-17.7
HACD4_reverse	17.7
HACD5	-17.7
HACD5_reverse	17.7
HACD6	-17.7
HACD6_reverse	17.7
HACD7	-17.7
HACD7_reverse	17.7
HACD8	-20.6
HACD8_reverse	20.6
HADPCOADH3	17.8
HADPCOADH3_reverse	-17.8
HBZOPT	-78.1
HCO3E	-6
HCO3E_reverse	6
HEX1	-19.8
HEX4	-19.3
HEX7	-17.2
HISTD	-12.9
HISTP	-18.7
HKNDDH	-55.3
HKNTDH	-55.4
HMBS	-128.5
HMPK1	-14.6
HOPNTAL	10.2
HPPK2	-11.6
HPPPNDO	-259.9
HPYRI	1.4
HPYRI_reverse	-1.4
HPYRP	-17.8
HPYRRx	-29
HPYRRy	-30
HSDy	21
HSDy_reverse	-21
HSK	-33.3
HSST	-24.2
HSTPT	8
HXAND	14.4
HXCT	-4.99
HXPRT	-28.4
HYPOE	-13.1
ICDHyr	6.4
ICDHyr_reverse	-6.4
ICHORS_copy1	1
ICHORS_copy2	1
ICHORS_copy2_reverse	-1
ICHORT	-43.9
ICL	8.7
IDOND	-17.8
IDOND_reverse	17.8
IDOND2	-18.8
IGPDH	-41.7
IGPS	-83.1
ILETA	-4.7
ILETA_reverse	4.7
IMPC	18.3
IMPC_reverse	-18.3
IMPD	19.2
INOSTO	-414.1
INOSTO_reverse	414.1
INSH	-4
INSK	-23.3
IPDDI	-4.9
IPDDI_reverse	4.9
IPDPS	-61.5
IPMD	17.8
IPPMIa	-3.2
IPPMIa_reverse	3.2
IPPMIb	-3.2
IPPMIb_reverse	3.2
IPPS	-28.2
KARA1	18.8
KARA1_reverse	-18.8
KARA2	-21.6
KARA2_reverse	21.6
KDOCT2	-38
KDOPP	-11.7
KDOPS	-63.7
KDUI	-2.5
KG6PDC	-9.7
L_LACD2	-57.2
L_LACD3	-21.2
LACZ	-10.9
LALDO2x	-15.1
LALDO3	-8.8
LALGP	-2.1
LCADi	-51.5
LCARS	-27.5
LCARS_reverse	27.5
LCARSyi	27.5
LDH_D	21.6
LDH_D_reverse	-21.6
LDH_D2	-60.3
LEUTAi	1.2
LGTHL	-23.5
LKDRA	18
LKDRA_reverse	-18
LPADSS	-23.7
LSERDHr	18
LSERDHr_reverse	-18
LYSAM	-4.6
LYSAM_reverse	4.6
LYSDC	-22.4
LYXI	12.7
M1PD	8.3
M1PD_reverse	-8.3
MALDDH	22.2
MALS	-35.6
MALTATr	-2.7
MALTATr_reverse	2.7
MAN1PT2	6.8
MAN6PI	-0.7
MAN6PI_reverse	0.7
MANAO	11.2
MANAO_reverse	-11.2
MANPGH	-10.5
MC6PH	-30.9
MCITD	-0.8
MCITL2	9.4
MCITL2_reverse	-9.4
MCITS	-42.1
MCPST	-81.9
MDH	27.5
MDH_reverse	-27.5
MDH2	-54.4
MDH3	-18.3
ME1	13
ME2	14
MEPCT	-4
METNA	-30.5
METNA_reverse	30.5
METS	-10
MGSA	-56.1
MI1PP	-20.3
MICITDr	0.8
MICITDr_reverse	-0.8
MLTG1	-12.9
MLTG2	-13.4
MLTG3	-13.4
MLTG4	-13.4
MLTG5	-13.4
MLTP1	2.8
MLTP1_reverse	-2.8
MLTP2	2.8
MLTP2_reverse	-2.8
MLTP3	2.8
MLTP3_reverse	-2.8
MMCD	-16.7
MMM	7.57
MN6PP	-9.6
MNNH	-37.4
MOHMT	5.6
MOX	-86.7
MPTAT	-12.3
MSAR	-22
MTAN	-11.7
MTHFC	-5.8
MTHFC_reverse	5.8
MTHFD	8
MTHFD_reverse	-8
MTHFR2	-35
MTRPOX	-44.6
NADDP	-41.2
NADH10	-48.6
NADH5	-84.7
NADH9	-45.8
NADHHR	28.8
NADHHS	28.8
NADHPO	-323.6
NADHXD	-55.7
NADHXE	0
NADHXE_reverse	0
NADK	-14.4
NADN	-39.4
NADPHHR	28.8
NADPHHS	28.8
NADPHQR2	-85.7
NADPHQR3	-49.6
NADPHQR4	-46.8
NADPHXD	-55.7
NADPHXE	0
NADPHXE_reverse	0
NADPPPS	-14.1
NADS1	-20.9
NADTRHD	-1
NAMNPP	-29.8
NDP3	-26
NDP7	-23.9
NDPK1	-2.5
NDPK1_reverse	2.5
NDPK2	-2.6
NDPK2_reverse	2.6
NDPK3	-0.5
NDPK3_reverse	0.5
NDPK4	2.6
NDPK4_reverse	-2.6
NDPK5	-2.6
NDPK5_reverse	2.6
NDPK6	1.5
NDPK6_reverse	-1.5
NDPK7	4.3
NDPK7_reverse	-4.3
NDPK8	3.1
NDPK8_reverse	-3.1
NHFRBO	-287.7
NMNAT	2
NMNDA	4.6
NMNN	-21.2
NNAM	-5
NNATr	-20.8
NNATr_reverse	20.8
NNDMBRT	-24.7
NNDPR	-19
NODOx	-491.4
NODOy	-492.4
NTD1	-12.8
NTD10	-11.8
NTD11	-5.2
NTD12	-15.3
NTD2	-9.1
NTD3	-15.6
NTD4	-15
NTD5	-10.9
NTD6	-16.4
NTD7	-13.8
NTD8	-16.4
NTD9	-5.4
NTP1	-28.5
NTP10	-32.3
NTP11	-29
NTP12	-29
NTP3	-26.1
NTP5	-28.1
NTPP1	-44.4
NTPP10	-44.4
NTPP11	-44.4
NTPP2	-35.8
NTPP3	-42.9
NTPP4	-38
NTPP5	-39.7
NTPP6	-39.2
NTPP7	-40.8
NTPP8	-33.6
NTPP9	-12.9
NTPTP1	-15.2
NTPTP2	-15.2
NTRIR2x	-384.2
O16AT	-2.7
O16GALFT	-12.8
O16GLCT1	-12.8
O16GLCT2	-12.8
OAADC	-14.5
OBTFL	-2.1
OCBT	-29.3
OCBT_reverse	29.3
OCTDPS	-375.5
OHPBAT	9.6
OHPBAT_reverse	-9.6
OMCDC	-16.6
OMMBLHXy	-439.5
OMPDC	-26.5
OMPHHXy	-439.5
OP4ENH	-0.7
OPHBDC	-8.1
OPHHX3	-34.2
OPHHXy	-439.5
ORNDC	-41.2
ORPT	-10.2
ORPT_reverse	10.2
OXAMTC	7.6
OXCDC	-16.2
OXCOAHDH	-46.6
OXDHCOAT	-26.1
P5CD	-58.2
P5CR	-46.4
PACCOAE	-439.5
PACCOAL	-12.9
PACOAT	-26.3
PAI2I	-4.6
PAI2T	-30.9
PANTS	-46.1
PAPA120	-10.6
PAPA140	-10.6
PAPA141	-10.6
PAPA160	-10.6
PAPA161	-10.6
PAPA180	-10.6
PAPA181	-10.6
PAPPT3	2.66
PAPSR	-39.4
PAPSR2	-39.4
PCNO	59.6
PCNO_reverse	-59.6
PDE1	-44.2
PDE4	-44.2
PDH	-35.3
PDX5PO2	22.5
PDX5POi	-112.2
PDX5PS	-238
PDXPP	-17
PERD	17.8
PERD_reverse	-17.8
PFK	-15
PFK_2	-19.6
PFK_3	-10.8
PFL	-21.2
PGAMT	-3.1
PGAMT_reverse	3.1
PGCD	31.7
PGI	2.53
PGI_reverse	-2.53
PGK	18.7
PGK_reverse	-18.7
PGL	-23.8
PGLYCP	-29.4
PGM	-4.1
PGM_reverse	4.1
PGMT	-7.4
PGMT_reverse	7.4
PGPP120	-10.6
PGPP140	-10.6
PGPP141	-10.6
PGPP160	-10.6
PGPP161	-10.6
PGPP180	-10.6
PGPP181	-10.6
PHDA	-10.8
PHETA1	-0.5
PHETA1_reverse	0.5
PMANM	-4.3
PMANM_reverse	4.3
PMDPHT	-13.8
PMPK	-3.4
PNTK	-10.2
POR5	-27.1
POR5_reverse	27.1
POX	-158
PPA	-16.2
PPA2	-28.5
PPAKr	-32.2
PPAKr_reverse	32.2
PPBNGS	-110.8
PPC	-39.2
PPCDC	-21
PPCK	10.6
PPCSCT	-16.1
PPDOy	-27.5
PPGPPDP	-26
PPK	-12.3
PPK2	-12.3
PPM	-11.7
PPM_reverse	11.7
PPM2	-28.9
PPM2_reverse	28.9
PPNCL2	-49.4
PPND	-13.9
PPNDH	-69.7
PPPNDO	-393.3
PPS	-1.7
PRAGSr	-24.3
PRAGSr_reverse	24.3
PRAIi	-5.8
PRASCSi	-64.3
PRMICI	-5.8
PRMICI_reverse	5.8
PROD3	-36.4
PRPPS	0.36
PRPPS_reverse	-0.36
PSCVT	-12.4
PSCVT_reverse	12.4
PSD120	-7.7
PSD140	-7.7
PSD141	-7.7
PSD160	-7.7
PSD161	-7.7
PSD180	-7.7
PSD181	-7.7
PSERT	-11.4
PSP_L	-10.2
PSURIK	-14.7
PTA2	17.5
PTAr	9.4
PTAr_reverse	-9.4
PTPATi	-13.8
PTRCTA	2.2
PUNP1	7.9
PUNP1_reverse	-7.9
PUNP2	11
