,flux,z,f,enz,met_concentration,reaction,gpr
DHDPRy,0.2624022067320624,1.0,0.20964597326664247,0.0004637159886892709,;h_c : 1.0;nadp_c : 0.0020000000008562916;23dhdp_c : 4.999999992621096e-07;nadph_c : 0.02000000000856292;thdp_c : 0.02000000000856292,23dhdp_c + h_c + nadph_c --> nadp_c + thdp_c,b0031
DAPE,0.2624022067320624,1.0,-8.968333633234923,0.0001970200159787796,;26dap_LL_c : 0.00031953639418614774;26dap__M_c : 0.02000000000856292,26dap_LL_c --> 26dap__M_c,b3809
DHDPS,0.2624022067320624,1.0,99.54131234003147,7.352428713670628e-05,;23dhdp_c : 4.999999992621096e-07;pyr_c : 1.3223265105347658e-05;aspsa_c : 0.00013894387788614755;h2o_c : 1.0;h_c : 1.0,aspsa_c + pyr_c --> 23dhdp_c + 2.0 h2o_c + h_c,b2478
ACOAD1fr,0.25174268519850784,1.0,12.757440963129973,8.980450406925881e-05,;fadh2_c : 4.999999992621096e-07;fad_c : 0.02000000000856292;btcoa_c : 4.999999992621096e-07;b2coa_c : 5.169866999727173e-07,b2coa_c + fadh2_c --> btcoa_c + fad_c,b1695
ACACT5r,0.25174268519850784,1.0,-14.57128001843509,0.0005005860262234688,;dcacoa_c : 4.999999992621096e-07;3oddcoa_c : 1.770996265282406e-05;coa_c : 4.999999992621096e-07;accoa_c : 0.02000000000856292,accoa_c + dcacoa_c --> 3oddcoa_c + coa_c,b3845 or b2342
ECOAH2,0.25174268519850784,1.0,14.57128001843519,0.00034451447897542565,;h2o_c : 1.0;3hhcoa_c : 0.0002094683955967488;hx2coa_c : 4.999999992621096e-07,3hhcoa_c --> h2o_c + hx2coa_c,b2341 or b3846
ACOAD3f_reverse,0.25174268519850784,1.0,21.771279018434996,0.0002454883547203096,;fadh2_c : 4.999999992621096e-07;fad_c : 0.02000000000856292;occoa_c : 4.999999992621096e-07;oc2coa_c : 4.999999992621096e-07,fadh2_c + oc2coa_c --> fad_c + occoa_c,b0221
HACD1,0.25174268519850784,1.0,-9.209646973266652,0.0002553931828801839,;3hbcoa_c : 0.0006203383161188023;nadh_c : 0.0007084583731630467;aacoa_c : 4.999999992621096e-07;h_c : 1.0;nad_c : 0.007084583731630468,aacoa_c + h_c + nadh_c --> 3hbcoa_c + nad_c,b3846 or b2341
ACOAD4f_reverse,0.25174268519850784,1.0,18.97127901843499,0.000375416823904871,;fadh2_c : 4.999999992621096e-07;dcacoa_c : 4.999999992621096e-07;fad_c : 0.02000000000856292;dc2coa_c : 4.999999992621096e-07,dc2coa_c + fadh2_c --> dcacoa_c + fad_c,b0221
ACACT3r,0.25174268519850784,1.0,-5.371279018435004,0.0005005860262234688,;hxcoa_c : 0.02000000000856292;3oocoa_c : 0.02000000000856292;accoa_c : 0.02000000000856292;coa_c : 4.999999992621096e-07,accoa_c + hxcoa_c --> 3oocoa_c + coa_c,b2342 or b3845
ECOAH3,0.25174268519850784,1.0,14.571280018435138,0.0003375455435762015,;h2o_c : 1.0;3hocoa_c : 0.00018646596236335063;oc2coa_c : 4.999999992621096e-07,3hocoa_c --> h2o_c + oc2coa_c,b2341 or b3846
ACOAD2f_reverse,0.25174268519850784,1.0,-9.457441963130002,0.0003189446179315919,;fadh2_c : 4.999999992621096e-07;hxcoa_c : 0.02000000000856292;fad_c : 0.02000000000856292;hx2coa_c : 4.999999992621096e-07,fadh2_c + hx2coa_c --> fad_c + hxcoa_c,b0221
