,flux,z,f,enz,met_concentration,reaction,gpr
ATPS4rpp,55.18181275228028,1.0,-9999.0,0.001857265525611375,;h_p : 1.0;atp_c : 2.6009595205285837e-05;adp_c : 2.600959520528581e-06;h_c : 1.0;pi_c : 0.020000000008563314;h2o_c : 1.0,adp_c + 4.0 h_p + pi_c --> atp_c + h2o_c + 3.0 h_c,( b3734 and b3733 and b3731 and b3735 and b3732 and b3739 and b3737 and b3738 and b3736 ) or ( b3732 and b3735 and b3731 and b3733 and b3734 and b3737 and b3738 and b3736 )
H2Otpp_reverse,37.67995415495477,1.0,-9999.0,-9999.0,;h2o_p : 1.0;h2o_c : 1.0,h2o_c --> h2o_p,s0001 or b0875
EX_h2o_e,37.67995415495477,1.0,-9999.0,-9999.0,;h2o_e : 1.0,h2o_e --> ,
H2Otex_reverse,37.67995415495477,1.0,-9999.0,-9999.0,;h2o_e : 1.0;h2o_p : 1.0,h2o_p --> h2o_e,b1377 or b2215 or b1319 or b3875 or s0001 or b0957 or b0241 or b0929
CYTBO3_4pp,33.60863519801387,1.0,-9999.0,0.002356741529656455,;h_p : 1.0;o2_c : 4.999999992621096e-07;h_c : 1.0;q8h2_c : 4.999999992621096e-07;q8_c : 3.824032644798942e-06;h2o_c : 1.0,4.0 h_c + 0.5 o2_c + q8h2_c --> h2o_c + 4.0 h_p + q8_c,b0429 and b0432 and b0431 and b0430
NADH16pp,31.346474672239406,1.0,-9999.0,0.02419402997774094,;nadh_c : 4.999999992621078e-07;h_p : 1.0;nad_c : 4.999999992621083e-06;q8_c : 3.824032644798942e-06;h_c : 1.0;q8h2_c : 4.999999992621096e-07,4.0 h_c + nadh_c + q8_c --> 3.0 h_p + nad_c + q8h2_c,b2280 and b2281 and b2287 and b2288 and b2282 and b2277 and b2279 and b2284 and b2278 and b2276 and b2283 and b2286 and b2285
CO2tex_reverse,18.36758914999742,1.0,-9999.0,-9999.0,;co2_e : 1.0;co2_p : 1.0,co2_p --> co2_e,b1377 or b0241 or b0929 or b2215
EX_co2_e,18.36758914999742,1.0,-9999.0,-9999.0,;co2_e : 1.0,co2_e --> ,
CO2tpp_reverse,18.36758914999742,1.0,-9999.0,-9999.0,;co2_c : 1.6751453800345658e-07;co2_p : 1.0,co2_c --> co2_p,s0001
PGK_reverse,17.07231434258353,1.0,-0.481867432137836,0.0011855773849016342,;3pg_c : 0.009036352331199865;atp_c : 2.6009595205285837e-05;13dpg_c : 5.319055209562076e-05;adp_c : 2.600959520528581e-06,13dpg_c + adp_c --> 3pg_c + atp_c,b2926
GAPD,17.07231434258353,1.0,-0.4818674321376748,0.0014402231937866888,;nadh_c : 4.999999992621078e-07;pi_c : 0.020000000008563314;nad_c : 4.999999992621083e-06;13dpg_c : 5.319055209562076e-05;h_c : 1.0;g3p_c : 0.0012150780459455337,g3p_c + nad_c + pi_c --> 13dpg_c + h_c + nadh_c,b1779
O2tex,16.80639140935829,1.0,-9999.0,-9999.0,;o2_e : 1.0;o2_p : 1.0,o2_e --> o2_p,b1377 or b0241 or b0929 or b2215
EX_o2_e_reverse,16.80639140935829,1.0,-9999.0,-9999.0,;o2_e : 1.0, --> o2_e,
O2tpp,16.80639140935829,1.0,-9999.0,-9999.0,;o2_p : 1.0;o2_c : 4.999999992621096e-07,o2_p --> o2_c,s0001
PGM_reverse,15.855908418067548,1.0,15.39735642737845,0.0018635820091311142,;2pg_c : 4.706599742980262e-06;3pg_c : 0.009036352331199865,3pg_c --> 2pg_c,b0755 or b3612
ENO,15.855908418067548,1.0,0.4818674321377041,0.0017485543449089068,;2pg_c : 4.706599742980262e-06;pep_c : 1.9142030294573105e-05;h2o_c : 1.0,2pg_c --> h2o_c + pep_c,b2779
Htex_reverse,12.528154125550442,1.0,-9999.0,-9999.0,;h_p : 1.0;h_e : 1.0,h_p --> h_e,b1377 or b0241 or b0929 or b2215
EX_h_e,12.528154125550442,1.0,-9999.0,-9999.0,;h_e : 1.0,h_e --> ,
PDH,10.927831266557092,1.0,22.376733909663137,0.00020338416650953086,;nadh_c : 4.999999992621078e-07;accoa_c : 0.02000000000856292;nad_c : 4.999999992621083e-06;co2_c : 1.6751453800345658e-07;coa_c : 4.462506080124438e-06;pyr_c : 5.00347068616984e-07,coa_c + nad_c + pyr_c --> accoa_c + co2_c + nadh_c,b0116 and b0115 and b0114
EX_glc__D_e_reverse,10.0,1.0,-9999.0,-9999.0,;glc__D_e : 1.0, --> glc__D_e,
GLCtex_copy1,10.0,1.0,-9999.0,-9999.0,;glc__D_p : 1.0;glc__D_e : 1.0,glc__D_e --> glc__D_p,b4036
GLCptspp,10.0,1.0,-9999.0,0.0017543859649122807,;g6p_c : 3.376421801088202e-05;glc__D_p : 1.0;pep_c : 1.9142030294573105e-05;pyr_c : 5.00347068616984e-07,glc__D_p + pep_c --> g6p_c + pyr_c,( b2415 and b1101 and b2416 and b2417 ) or ( b2417 and b1621 and b2415 and b2416 ) or ( b1817 and b2415 and b1819 and b1818 and b2416 )
PFK,8.195742936944175,1.0,2.4256767220216293,0.0002657884020619242,;fdp_c : 0.02000000000856292;f6p_c : 1.5260136296854357e-05;atp_c : 2.6009595205285837e-05;h_c : 1.0;adp_c : 2.600959520528581e-06,atp_c + f6p_c --> adp_c + fdp_c + h_c,b3916 or b1723
FBA,8.195742936944175,1.0,-0.48185943213742277,0.008340911598866423,;g3p_c : 0.0012150780459455337;dhap_c : 0.00850432711618278;fdp_c : 0.02000000000856292,fdp_c --> dhap_c + g3p_c,b2925 or b2097
TPI,8.092395460682454,1.0,-0.4818674321378049,1.3473239004651503e-05,;g3p_c : 0.0012150780459455337;dhap_c : 0.00850432711618278,dhap_c --> g3p_c,b3919
NH4tpp,7.898772586410496,1.0,-9999.0,-9999.0,;nh4_c : 0.02000000000856292;nh4_p : 1.0,nh4_p --> nh4_c,s0001 or b0451
NH4tex,7.898772586410496,1.0,-9999.0,-9999.0,;nh4_e : 1.0;nh4_p : 1.0,nh4_e --> nh4_p,b0241 or b1377 or b2215 or b0929
EX_nh4_e_reverse,7.898772586410496,1.0,-9999.0,-9999.0,;nh4_e : 1.0, --> nh4_e,
ATPM,6.86,1.0,44.527474284726594,-9999.0,;h2o_c : 1.0;pi_c : 0.020000000008563314;atp_c : 2.6009595205285837e-05;h_c : 1.0;adp_c : 2.600959520528581e-06,atp_c + h2o_c --> adp_c + h_c + pi_c,
PGI,6.496756753563538,1.0,-0.48186743213778893,0.0005287620947128552,;g6p_c : 3.376421801088202e-05;f6p_c : 1.5260136296854357e-05,g6p_c --> f6p_c,b4025
GLUDy_reverse,6.214572069735553,1.0,11.4694940119061,0.00045332223953008737,;nadph_c : 0.02000000000856292;akg_c : 4.999999992621096e-07;nh4_c : 0.02000000000856292;h_c : 1.0;glu__L_c : 0.0013516071481578973;nadp_c : 0.0020000000008562916;h2o_c : 1.0,akg_c + h_c + nadph_c + nh4_c --> glu__L_c + h2o_c + nadp_c,b1761 or ( b3213 and b3212 )
ACt2rpp_reverse,5.8091039596727,1.0,-9999.0,-9999.0,;ac_p : 1.0;h_p : 1.0;h_c : 1.0;ac_c : 4.172661294810087e-06,ac_c + h_c --> ac_p + h_p,b0010
ACtex_reverse,5.805297160145825,1.0,-9999.0,-9999.0,;ac_p : 1.0;ac_e : 1.0,ac_p --> ac_e,b1377 or b0241 or b0929 or b2215
EX_ac_e,5.805297160145825,1.0,-9999.0,-9999.0,;ac_e : 1.0,ac_e --> ,
