,max_Df under fixed Ci ratio,min_Df under fixed Ci ratio,diff under fixed Ci ratio
ADCL,128.846549293025,46.86038634832999,81.986162944695
ADCS,71.05744196313,-38.25744196313001,109.31488392626002
ADK1,7.638366954831643,7.638366954831643,0.0
ADD,84.04654929302501,2.060386348329992,81.98616294469502
ADK1_reverse,-7.638366954831643,-7.638366954831643,0.0
ADK3,27.408720981565004,-27.248720981565008,54.65744196313001
ADK3_reverse,27.248720981565008,-27.408720981565004,54.65744196313001
ADK4,33.60872098156501,-21.048720981565005,54.65744196313001
ADK4_reverse,21.048720981565005,-33.60872098156501,54.65744196313001
ADMDC,88.297289662915,15.824746837822993,72.472542825092
ADNCYC,59.646549293025004,-16.401246696838356,76.04779598986336
ADNK1,47.96708793639666,-0.7519870719017163,48.719075008298375
ADNUC,69.54654929302501,-12.439613651670005,81.98616294469501
ADPRDP,86.94654929302502,10.89875330316164,76.04779598986337
ADPT,73.55744196313,-29.81907500829837,103.37651697142837
ADSK,49.56708793639665,-5.090354026733358,54.65744196313001
ADSL1r,54.54654929302501,-21.501246696838358,76.04779598986337
ADSL1r_reverse,21.501246696838358,-54.54654929302501,76.04779598986337
ADSL2r,52.446549293025015,-29.539613651670006,81.98616294469502
ADSL2r_reverse,29.539613651670006,-52.446549293025015,81.98616294469502
ADSS,75.48616294469502,-88.48616294469502,163.97232588939005
AGDC,72.34654929302502,-9.639613651670004,81.98616294469502
AGM3PH,78.54654929302501,-3.4396136516700047,81.98616294469501
AGM4PH,78.54654929302501,-3.4396136516700047,81.98616294469501
AGMHE,27.328720981565006,-27.328720981565006,54.65744196313001
AGMT,122.44654929302502,40.46038634833,81.98616294469502
AGPR,6.701246696838361,-75.28491624785666,81.98616294469502
AGPR_reverse,75.28491624785666,-6.701246696838361,81.98616294469502
AHCYSNS,79.54654929302501,-2.4396136516700047,81.98616294469501
AHGDx,3.667087936396655,-55.14109440178136,58.808182338178014
AHGDx_reverse,55.14109440178136,-3.667087936396655,58.808182338178014
AI2K,60.76708793639664,6.1096459732666375,54.657441963130005
AICART,46.45744196313001,-62.857441963130015,109.31488392626002
AICART_reverse,62.857441963130015,-46.45744196313001,109.31488392626002
AIRC2,110.81907500713274,11.017811200475727,99.801263806657
AIRC3,65.42872098156501,10.771279018434996,54.65744196313001
AIRC3_reverse,65.42872098156501,10.771279018434996,54.65744196313001
AKGDH,96.09728966289967,-7.854714518805348,103.95200418170502
ALAALAD,66.846549293025,-15.139613651670004,81.98616294469501
ALAALAr,86.99580891796165,-22.31907500829837,109.31488392626002
ALAALAr_reverse,22.31907500829837,-86.99580891796165,109.31488392626002
ALAGLUE_reverse,26.728720981565004,-27.928720981565007,54.65744196313001
ALAGLUE,27.928720981565007,-26.728720981565004,54.65744196313001
ALAR,27.328720981565006,-27.328720981565006,54.65744196313001
ALAR_reverse,27.328720981565006,-27.328720981565006,54.65744196313001
ALATA_D2,53.15744196313001,-56.15744196313001,109.31488392626002
ALATA_L,59.00818233817802,-54.45744196313001,113.46562430130803
ALATA_L_reverse,54.45744196313001,-59.00818233817802,113.46562430130803
ALATA_L2,53.56744196313001,-55.747441963130015,109.31488392626002
ALCD19,58.090354026733365,3.4329120636033466,54.65744196313002
ALCD19_reverse,-3.4329120636033466,-58.090354026733365,54.65744196313002
ALCD2x,14.467087936396656,-40.19035402673336,54.65744196313001
ALCD2x_reverse,40.19035402673336,-14.467087936396656,54.65744196313001
ALDD19xr,68.66708793639665,14.009645973266643,54.65744196313001
ALDD3y,69.79035402673335,15.13291206360335,54.657441963130005
ALDD2y,73.09035402673337,18.432912063603354,54.65744196313001
ALDD19xr_reverse,-19.709645973266646,-74.36708793639667,54.657441963130026
ALDD4,75.06708793639666,20.40964597326665,54.65744196313001
ALLPI,26.728720981565004,-27.928720981565007,54.65744196313001
ALKP,77.04654929302501,-4.939613651670005,81.98616294469501
ALLK,44.66708793639665,-9.990354026733364,54.65744196313001
ALLPI_reverse,27.928720981565007,-26.728720981565004,54.65744196313001
ALLTAMH2,92.61511797437501,-7.186145832282001,99.801263806657
ALLULPE,31.228720981565004,-23.428720981565007,54.65744196313001
ALLTN,81.02872098156502,26.371279018434997,54.65744196313002
ALLULPE_reverse,23.428720981565007,-31.228720981565004,54.65744196313001
ALR2,51.86708793639665,-2.790354026733361,54.65744196313001
ALR2x,38.99035402673336,-15.667087936396655,54.65744196313001
ALR4x,41.99035402673336,-12.667087936396655,54.65744196313001
ALTRH,64.728720981565,10.071279018434993,54.65744196313001
AM3PA,64.84654929302502,-17.139613651670004,81.98616294469502
AM4PA,64.84654929302502,-17.139613651670004,81.98616294469502
AMALT1,55.82744196313001,-53.48744196313001,109.31488392626002
AMALT2,55.857441963130015,-53.45744196313001,109.31488392626002
AMALT3,55.857441963130015,-53.45744196313001,109.31488392626002
AMALT4,55.857441963130015,-53.45744196313001,109.31488392626002
AMANAPEr,29.528720981565005,-25.128720981565003,54.65744196313001
AMANAPEr_reverse,25.128720981565003,-29.528720981565005,54.65744196313001
AMAOTr,55.95744196313001,-53.357441963130015,109.31488392626002
AMANK,48.76708793639665,-5.8903540267333625,54.65744196313001
AMAOTr_reverse,53.357441963130015,-55.95744196313001,109.31488392626002
AMPMS2,347.1027445593167,237.78786063305668,109.31488392626002
AMPN,76.50818233819336,0.4603863483299939,76.04779598986337
AMPTASECG,58.146549293025004,-23.839613651670007,81.98616294469501
AMPTASEPG,66.84654929302502,-15.139613651670004,81.98616294469502
ANHMK,30.76708793639665,-23.890354026733363,54.65744196313001
ANPRT,110.95744196313001,1.6425580368699855,109.31488392626002
AOBUTDs,84.69728966291501,12.224746837822998,72.472542825092
ANS,172.57527027459,35.93166536676499,136.64360490782502
AP4AH,104.84654929302502,34.73712025799329,70.10942903503172
AP4AS,55.81744196313001,-41.620708053466714,97.43815001659672
AP5AH,98.90818233819337,28.79875330316164,70.10942903503172
APH120,113.44654929302502,31.460386348329997,81.98616294469502
APH140,113.44654929302502,31.460386348329997,81.98616294469502
APH141,113.44654929302502,31.460386348329997,81.98616294469502
APH160,113.44654929302502,31.460386348329997,81.98616294469502
APH161,113.44654929302502,31.460386348329997,81.98616294469502
APH181,113.44654929302502,31.460386348329997,81.98616294469502
APPLDHr,38.290354026733354,-16.367087936396658,54.65744196313001
APH180,113.44654929302502,31.460386348329997,81.98616294469502
APPLDHr_reverse,16.367087936396658,-38.290354026733354,54.65744196313001
APRAUR,57.86708793639665,3.209645973266639,54.65744196313001
ARABDI,22.02872098156501,-32.628720981565,54.65744196313001
ARABDI_reverse,32.628720981565,-22.02872098156501,54.65744196313001
ARAI_reverse,32.228720981565004,-22.428720981565007,54.65744196313001
ARGDC,80.99728966291502,8.524746837822995,72.47254282509203
