,EcoTCM,EcoETM
0.3,2.6670879363966336,2.6670879363966336
0.306,2.6670879363966336,2.6670879363966336
0.303,2.6670879363966336,2.6670879363967117
0.309,2.6670879363966336,2.6670879363966336
0.312,2.6670879363966336,2.6670879363966336
0.315,2.6670879363966336,2.6670879363966336
0.318,2.6670879363966336,2.6670879363966336
0.321,2.6670879363966336,2.6670879363966336
0.327,2.6670879363966336,2.6670879363966336
0.324,2.6670879363966336,2.6670879363966336
0.32999999999999996,2.6670879363966336,2.6670879363966336
0.33299999999999996,2.6670879363966336,2.6670879363966336
0.33599999999999997,2.6670879363966336,2.6670879363966336
0.33899999999999997,2.6670879363966336,2.6670879363966336
0.345,2.6670879363966336,2.6670879363966336
0.34199999999999997,2.6670879363966336,2.6670879363966336
0.348,2.6670879363966336,2.6670879363966336
0.351,2.6670879363966336,2.6670879363966336
0.354,2.6670879363966336,2.6670879363966336
0.363,2.6670879363966336,2.6670879363966336
0.357,2.6670879363966336,2.6670879363966336
0.36,2.6670879363966336,2.6670879363966336
0.366,2.6670879363966336,2.6670879363966336
0.369,2.6670879363966336,2.6670879363966336
0.372,2.6670879363966336,2.6670879363966336
0.378,2.6670879363966336,2.6670879363966336
0.375,2.6670879363966336,2.6670879363966336
0.381,2.6670879363966336,2.6670879363966336
0.384,2.6670879363966336,2.6670879363966336
0.387,2.6670879363966336,2.6670879363966336
0.39,2.6670879363966336,2.6670879363966336
0.393,2.6670879363966336,2.6670879363966336
0.396,2.6670879363966336,2.6670879363966336
0.399,2.6670879363966336,2.6670879363966336
0.402,2.6670879363966336,2.6670879363966336
0.40499999999999997,2.6670879363966336,2.6670879363966336
0.408,2.6670879363966336,2.6670879363966336
0.411,2.6670879363966336,2.6670879363966336
0.414,2.6670879363966336,2.6670879363966336
0.417,2.6670879363966336,2.667087936396719
0.42,2.6670879363966336,2.6670879363966336
0.423,2.6670879363966336,2.667087936396719
0.426,2.6670879363966336,2.6670879363966336
0.432,2.6670879363966336,2.6670879363966336
0.429,2.6670879363966336,2.6670879363966336
0.435,2.6670879363966336,2.6670879363966336
0.438,2.6670879363966336,2.6670879363966336
0.441,2.6670879363966336,2.6670879363966336
0.444,2.6670879363966336,2.6670879363966336
0.44999999999999996,2.6670879363966336,2.6670879363966336
0.44699999999999995,2.6670879363966336,2.6670879363966336
0.45599999999999996,2.6670879363966336,2.6670879363966336
0.45299999999999996,2.6670879363966336,2.6670879363966336
0.45899999999999996,2.6670879363966336,2.6670879363966336
0.46199999999999997,2.6670879363966336,2.6670879363966336
0.46499999999999997,2.6670879363966336,2.6670879363966336
0.46799999999999997,2.6670879363966336,2.6670879363966336
0.474,2.6670879363966336,2.6670879363966336
0.471,2.6670879363966336,2.6670879363966336
0.477,2.6670879363966336,2.6670879363966336
0.48,2.6670879363966336,2.6670879363966336
